Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-1598.657	-1597.102	-1.555792	0.7241238	0.831668	0.831668	0.08463024	0.9153698	1e-06	0.0846302	1e-06	1e-06	0.91537	1e-06	0.0846302	0.91537
500	-1096.402	-1095.48	-0.9220741	0.9161894	0.00588472	0.00588472	0.0449496	0.9550504	1e-06	0.0449496	1e-06	1e-06	0.95505	1e-06	0.0449496	0.95505
1000	-896.0267	-895.2884	-0.7382298	0.7221903	0.0160396	0.0160396	0.04952631	0.9504737	1e-06	0.0495263	1e-06	1e-06	0.950474	1e-06	0.0495263	0.950474
1500	-882.8044	-881.9837	-0.8207322	0.6993376	0.121395	0.121395	0.05948293	0.9405171	1e-06	0.0594829	1e-06	1e-06	0.940517	1e-06	0.0594829	0.940517
2000	-823.8167	-823.2056	-0.6110798	0.6060955	0.00498426	0.00498426	0.06305512	0.9369449	1e-06	0.0630551	1e-06	1e-06	0.936945	1e-06	0.0630551	0.936945
2500	-802.7745	-802.2726	-0.5019272	0.497213	0.00471426	0.00471426	0.0815371	0.9184629	1e-06	0.0815371	1e-06	1e-06	0.918463	1e-06	0.0815371	0.918463
3000	-843.6679	-843.1319	-0.5359827	0.5153782	0.0206044	0.0206044	0.08494127	0.9150587	1e-06	0.0849413	1e-06	1e-06	0.915059	1e-06	0.0849413	0.915059
3500	-920.7877	-920.1179	-0.6698762	0.5917859	0.0780903	0.0780903	0.07376508	0.9262349	1e-06	0.0737651	1e-06	1e-06	0.926235	1e-06	0.0737651	0.926235
4000	-904.0036	-903.2863	-0.7173053	0.6344053	0.0829	0.0829	0.05572459	0.9442754	1e-06	0.0557246	1e-06	1e-06	0.944275	1e-06	0.0557246	0.944275
4500	-913.5996	-912.8585	-0.7410729	0.6708415	0.0702314	0.0702314	0.06406967	0.9359303	1e-06	0.0640697	1e-06	1e-06	0.93593	1e-06	0.0640697	0.93593
5000	-894.0064	-892.7496	-1.256863	0.6821239	0.574739	0.574739	0.06704187	0.9329581	1e-06	0.0670419	1e-06	1e-06	0.932958	1e-06	0.0670419	0.932958
5500	-810.7059	-810.1471	-0.5587544	0.5338259	0.0249285	0.0249285	0.05806923	0.9419308	1e-06	0.0580692	1e-06	1e-06	0.941931	1e-06	0.0580692	0.941931
6000	-889.0479	-888.1701	-0.8777268	0.6407585	0.236968	0.236968	0.0629629	0.9370371	1e-06	0.0629629	1e-06	1e-06	0.937037	1e-06	0.0629629	0.937037
6500	-800.8512	-800.216	-0.6351951	0.5321615	0.103034	0.103034	0.06119554	0.9388045	1e-06	0.0611955	1e-06	1e-06	0.938804	1e-06	0.0611955	0.938804
7000	-843.5585	-842.9209	-0.6375334	0.6008752	0.0366582	0.0366582	0.07083757	0.9291624	1e-06	0.0708376	1e-06	1e-06	0.929162	1e-06	0.0708376	0.929162
7500	-878.2528	-877.6587	-0.5940966	0.5466018	0.0474948	0.0474948	0.07831601	0.921684	1e-06	0.078316	1e-06	1e-06	0.921684	1e-06	0.078316	0.921684
8000	-819.431	-818.8421	-0.5888922	0.5648812	0.0240111	0.0240111	0.06983979	0.9301602	1e-06	0.0698398	1e-06	1e-06	0.93016	1e-06	0.0698398	0.93016
8500	-832.2019	-831.6643	-0.5375631	0.5332685	0.00429464	0.00429464	0.06371171	0.9362883	1e-06	0.0637117	1e-06	1e-06	0.936288	1e-06	0.0637117	0.936288
9000	-827.9559	-827.4083	-0.5475761	0.5460286	0.00154757	0.00154757	0.0835721	0.9164279	1e-06	0.0835721	1e-06	1e-06	0.916428	1e-06	0.0835721	0.916428
9500	-823.8431	-823.2038	-0.6393429	0.565937	0.0734059	0.0734059	0.06914206	0.9308579	1e-06	0.0691421	1e-06	1e-06	0.930858	1e-06	0.0691421	0.930858
10000	-833.4883	-832.923	-0.5653059	0.5522443	0.0130616	0.0130616	0.06496412	0.9350359	1e-06	0.0649641	1e-06	1e-06	0.935036	1e-06	0.0649641	0.935036
10500	-895.9486	-895.2961	-0.6525254	0.6034801	0.0490453	0.0490453	0.07861814	0.9213819	1e-06	0.0786181	1e-06	1e-06	0.921382	1e-06	0.0786181	0.921382
11000	-871.8157	-871.0025	-0.8131429	0.591027	0.222116	0.222116	0.06990412	0.9300959	1e-06	0.0699041	1e-06	1e-06	0.930096	1e-06	0.0699041	0.930096
11500	-842.1176	-841.5393	-0.5782731	0.5779084	0.000364752	0.000364752	0.06623604	0.933764	1e-06	0.066236	1e-06	1e-06	0.933764	1e-06	0.066236	0.933764
12000	-876.2025	-875.4776	-0.7249157	0.6181459	0.10677	0.10677	0.07093713	0.9290629	1e-06	0.0709371	1e-06	1e-06	0.929063	1e-06	0.0709371	0.929063
12500	-951.5204	-950.8099	-0.7104919	0.6588942	0.0515977	0.0515977	0.0745635	0.9254365	1e-06	0.0745635	1e-06	1e-06	0.925437	1e-06	0.0745635	0.925437
13000	-778.4701	-777.9941	-0.4760674	0.4585071	0.0175603	0.0175603	0.0669009	0.9330991	1e-06	0.0669009	1e-06	1e-06	0.933099	1e-06	0.0669009	0.933099
13500	-842.9661	-842.2153	-0.7508267	0.5853406	0.165486	0.165486	0.07375773	0.9262423	1e-06	0.0737577	1e-06	1e-06	0.926242	1e-06	0.0737577	0.926242
14000	-841.3184	-840.5468	-0.7716684	0.5493376	0.222331	0.222331	0.07644784	0.9235522	1e-06	0.0764478	1e-06	1e-06	0.923552	1e-06	0.0764478	0.923552
14500	-904.8355	-904.1818	-0.6537623	0.6278957	0.0258667	0.0258667	0.06510945	0.9348905	1e-06	0.0651095	1e-06	1e-06	0.934891	1e-06	0.0651095	0.934891
15000	-906.0633	-905.444	-0.619344	0.593556	0.025788	0.025788	0.063617	0.936383	1e-06	0.063617	1e-06	1e-06	0.936383	1e-06	0.063617	0.936383
15500	-847.2253	-846.2355	-0.9897845	0.627061	0.362724	0.362724	0.0692288	0.9307712	1e-06	0.0692288	1e-06	1e-06	0.930771	1e-06	0.0692288	0.930771
16000	-828.7595	-828.047	-0.712554	0.5735569	0.138997	0.138997	0.08207296	0.917927	1e-06	0.082073	1e-06	1e-06	0.917927	1e-06	0.082073	0.917927
16500	-882.0521	-881.2547	-0.7974637	0.6068874	0.190576	0.190576	0.07832065	0.9216793	1e-06	0.0783207	1e-06	1e-06	0.921679	1e-06	0.0783207	0.921679
17000	-883.6747	-883.0179	-0.6567551	0.5724691	0.0842859	0.0842859	0.0764751	0.9235249	1e-06	0.0764751	1e-06	1e-06	0.923525	1e-06	0.0764751	0.923525
17500	-859.1934	-858.4983	-0.6950452	0.6506082	0.044437	0.044437	0.06263548	0.9373645	1e-06	0.0626355	1e-06	1e-06	0.937365	1e-06	0.0626355	0.937365
18000	-887.3227	-886.4931	-0.8295739	0.5822021	0.247372	0.247372	0.07112393	0.9288761	1e-06	0.0711239	1e-06	1e-06	0.928876	1e-06	0.0711239	0.928876
18500	-822.7663	-822.0312	-0.7350543	0.5917927	0.143262	0.143262	0.06601566	0.9339843	1e-06	0.0660157	1e-06	1e-06	0.933984	1e-06	0.0660157	0.933984
19000	-796.3332	-795.6891	-0.644177	0.5117184	0.132459	0.132459	0.06962075	0.9303792	1e-06	0.0696208	1e-06	1e-06	0.930379	1e-06	0.0696208	0.930379
19500	-926.3749	-925.6805	-0.6943994	0.6621651	0.0322343	0.0322343	0.06652758	0.9334724	1e-06	0.0665276	1e-06	1e-06	0.933472	1e-06	0.0665276	0.933472
20000	-870.7788	-870.1392	-0.6395996	0.5862843	0.0533153	0.0533153	0.08439675	0.9156033	1e-06	0.0843967	1e-06	1e-06	0.915603	1e-06	0.0843967	0.915603
20500	-951.7901	-950.9574	-0.8327065	0.6257157	0.206991	0.206991	0.0776222	0.9223778	1e-06	0.0776222	1e-06	1e-06	0.922378	1e-06	0.0776222	0.922378
21000	-839.6517	-839.0787	-0.5729468	0.5157059	0.0572409	0.0572409	0.07080296	0.929197	1e-06	0.070803	1e-06	1e-06	0.929197	1e-06	0.070803	0.929197
21500	-884.6812	-884.0068	-0.6744375	0.5881706	0.0862669	0.0862669	0.0663937	0.9336063	1e-06	0.0663937	1e-06	1e-06	0.933606	1e-06	0.0663937	0.933606
22000	-834.751	-834.1631	-0.5879241	0.5725348	0.0153893	0.0153893	0.06974912	0.9302509	1e-06	0.0697491	1e-06	1e-06	0.930251	1e-06	0.0697491	0.930251
22500	-857.7896	-857.0574	-0.7321445	0.5463403	0.185804	0.185804	0.07139123	0.9286088	1e-06	0.0713912	1e-06	1e-06	0.928609	1e-06	0.0713912	0.928609
23000	-874.3558	-873.7893	-0.5664941	0.5243376	0.0421565	0.0421565	0.07986604	0.920134	1e-06	0.079866	1e-06	1e-06	0.920134	1e-06	0.079866	0.920134
23500	-885.6168	-885.051	-0.565814	0.5596542	0.00615982	0.00615982	0.0815635	0.9184365	1e-06	0.0815635	1e-06	1e-06	0.918437	1e-06	0.0815635	0.918437
24000	-794.2851	-793.6841	-0.600973	0.5937302	0.00724277	0.00724277	0.05768352	0.9423165	1e-06	0.0576835	1e-06	1e-06	0.942316	1e-06	0.0576835	0.942316
24500	-858.764	-858.1604	-0.603592	0.5569612	0.0466308	0.0466308	0.07190727	0.9280927	1e-06	0.0719073	1e-06	1e-06	0.928093	1e-06	0.0719073	0.928093
25000	-884.53	-883.8284	-0.701596	0.5921798	0.109416	0.109416	0.06911433	0.9308857	1e-06	0.0691143	1e-06	1e-06	0.930886	1e-06	0.0691143	0.930886
