Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	lambda[99]	lambda[100]	lambda[101]	lambda[102]	lambda[103]	lambda[104]	lambda[105]	lambda[106]	lambda[107]	lambda[108]	lambda[109]	lambda[110]	lambda[111]	lambda[112]	lambda[113]	lambda[114]	lambda[115]	lambda[116]	lambda[117]	lambda[118]	lambda[119]	lambda[120]	lambda[121]	lambda[122]	lambda[123]	lambda[124]	lambda[125]	lambda[126]	lambda[127]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	mu[99]	mu[100]	mu[101]	mu[102]	mu[103]	mu[104]	mu[105]	mu[106]	mu[107]	mu[108]	mu[109]	mu[110]	mu[111]	mu[112]	mu[113]	mu[114]	mu[115]	mu[116]	mu[117]	mu[118]	mu[119]	mu[120]	mu[121]	mu[122]	mu[123]	mu[124]	mu[125]	mu[126]	mu[127]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
5500	-388.7988	-365.2413	-23.55755	0.58735	0.5894	0.592075	0.590374	0.585729	0.589787	0.589448	1.40369	1.35862	1.3112	1.19554	1.19469	1.24251	1.57676	1.51141	1.41715	1.19938	1.3148	1.24239	1.37122	1.22479	1.30852	1.20617	1.19362	1.24778	1.26649	1.20503	1.31212	2.02665	1.80576	1.84471	1.83822	2.22663	2.14182	2.08471	1.81261	1.81063	1.85417	1.94492	2.0188	1.93806	1.8297	1.81895	1.87951	2.03315	1.95617	2.03674	1.8344	1.8159	1.86281	1.84012	1.81498	1.80198	1.87642	1.83249	1.81603	1.86625	1.81917	1.88242	1.83662	1.94265	1.88484	1.88004	2.45727	2.82694	2.43454	2.47429	2.46674	2.64152	2.43878	2.49167	2.47405	2.6889	2.74762	2.66222	2.45579	2.4444	2.50198	2.47309	2.41071	2.45908	2.44027	2.45466	2.50405	2.47649	2.42466	2.41329	2.4665	2.46665	2.54941	2.49579	2.45772	2.43326	2.52505	2.5074	2.46655	2.55199	2.46299	3.10941	3.11196	3.42585	3.08582	3.14218	3.12265	3.063	3.13856	3.03793	3.08763	3.0686	3.14961	3.05518	3.1258	3.09209	3.1256	3.20863	3.15292	3.08226	3.05904	3.13521	3.7988	3.71933	3.74035	3.85501	3.70833	3.78387	3.74815	4.44474	3.73769	3.75074	3.76776	3.75694	3.72738	3.7532	3.75104	0.0330051	0.0321495	0.0310707	0.0317516	0.0336995	0.0319907	0.0321297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.34529	-0.534036	-0.326864	0.63152	-0.368667	-0.459969	0.0489051	0.0074242	0.0330051	0.0321495	0.0310707	0.0317516	0.0336995	0.0319907	0.0321297	0.01181975	0.1604978	0.480997	0.5891631	0.336091	1.01191	0.814736	-1.62469	-1.72176	-0.987671	-0.570485	1.88886
5600	-391.2172	-365.9034	-25.31381	0.699146	0.669529	0.632909	0.655927	0.723553	0.664086	0.668848	1.78041	1.7413	1.70832	1.74083	1.70945	1.68679	1.84067	1.80909	1.76886	1.76799	1.76973	1.73207	1.70683	1.71494	1.79388	1.75872	1.72229	1.70071	1.72648	1.78338	1.73905	2.615	2.61489	2.5842	2.55204	2.71506	2.67538	2.64309	2.67415	2.6427	2.61155	2.64102	2.60892	2.57355	2.61255	2.57812	2.55416	2.70206	2.66737	2.63477	2.63825	2.63031	2.6002	2.56542	2.61289	2.57891	2.55698	2.69093	2.65685	2.62626	2.63883	2.6336	2.59646	2.57324	2.59018	2.65801	3.48845	3.58383	3.58197	3.54836	3.51631	3.51338	3.51512	3.48655	3.45239	3.60923	3.57455	3.54023	3.57547	3.54182	3.51293	3.50349	3.51163	3.48447	3.45064	3.59757	3.56437	3.53045	3.5718	3.53847	3.511	3.53364	3.50555	3.46949	3.51612	3.48069	3.45829	3.595	3.55944	3.53103	3.54153	4.5554	4.48896	4.58321	4.58098	4.55021	4.5162	4.48359	4.5709	4.57423	4.54467	4.51094	4.50694	4.51304	4.48771	4.45219	4.59943	4.56905	4.53342	4.57452	4.53944	4.51385	5.73125	5.72189	5.66009	5.7498	5.74975	5.72307	5.68726	7.19104	1.7758	1.70057	1.60756	1.66602	1.83779	1.68675	1.69884	0.0364767	0.0334276	0.0298428	0.0320721	0.0390929	0.0328819	0.0333591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0344569	0.471474	-0.925859	2.43452	-1.22525	1.17012	-0.607548	-0.567334	0.0364767	0.0334276	0.0298428	0.0320721	0.0390929	0.0328819	0.0333591	0.08642348	1.273369	0.382824	0.6728785	-0.398988	-0.136633	0.544019	-1.30069	-0.474643	-1.76999	-0.00671622	0.545752
5700	-389.5453	-369.4729	-20.0724	0.593347	0.636055	0.696179	0.657368	0.561529	0.644447	0.637095	1.30663	1.35615	1.38668	1.26646	1.30751	1.3872	1.26551	1.29627	1.3375	1.2375	1.2943	1.31523	1.40959	1.32976	1.26126	1.25196	1.28716	1.36905	1.33678	1.22035	1.3368	2.02323	1.9192	1.99271	2.03152	1.93189	1.97528	2.00533	1.85048	1.89094	1.96581	1.95193	2.02949	2.05139	1.93624	1.97274	2.05575	1.90152	1.92446	2.00246	1.90699	1.90367	1.9796	2.01213	1.92265	1.95863	2.04612	1.83895	1.87327	1.9501	1.89329	1.93389	1.96005	2.05367	1.99825	1.90186	2.64735	2.64925	2.51009	2.5823	2.62069	2.68812	2.58862	2.66699	2.70143	2.56888	2.64035	2.66287	2.52368	2.56002	2.63959	2.63293	2.56811	2.64686	2.68132	2.49777	2.57238	2.60399	2.50196	2.53858	2.61866	2.57938	2.66449	2.68934	2.59585	2.62782	2.71954	2.52103	2.54868	2.63444	2.56643	3.25046	3.32766	3.32005	3.18888	3.26705	3.3008	3.30007	3.23986	3.15924	3.23757	3.2718	3.32045	3.24592	3.3316	3.36117	3.18313	3.26689	3.29125	3.18432	3.21661	3.30358	3.94919	3.90907	3.99595	3.94711	3.85289	3.93963	3.9682	4.63351	0.822413	0.881609	0.964945	0.91115	0.778312	0.893241	0.883051	0.0605357	0.0613497	0.0624239	0.0617395	0.0598976	0.0615044	0.061369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.840711	-1.04432	-0.247255	0.516292	0.18748	-0.128229	0.975583	0.387291	0.0605357	0.0613497	0.0624239	0.0617395	0.0598976	0.0615044	0.061369	0.007407151	0.903346	0.08348655	0.6309775	0.941318	-0.358685	-0.61462	-1.37731	-0.0697879	-0.264033	-0.733669	0.554583
5800	-388.1612	-366.9677	-21.19342	0.707884	0.667441	0.618315	0.649078	0.741701	0.660077	0.666518	1.53585	1.47865	1.42783	1.44905	1.40508	1.38747	1.63146	1.58389	1.52225	1.48831	1.51189	1.44891	1.4327	1.42168	1.54449	1.47711	1.42236	1.40751	1.44569	1.51118	1.46939	2.22074	2.18514	2.15197	2.10543	2.37508	2.31517	2.26569	2.27064	2.226	2.19282	2.24626	2.21146	2.1532	2.18698	2.13575	2.11815	2.34163	2.285	2.24923	2.22395	2.20899	2.17796	2.12398	2.18335	2.1326	2.12018	2.2989	2.24671	2.21535	2.22059	2.22583	2.16538	2.1534	2.16701	2.25929	2.89378	3.07173	3.02109	2.98231	2.93562	2.95538	2.92465	2.89733	2.84533	3.09363	3.05164	2.99574	3.01387	2.96348	2.93619	2.91742	2.91067	2.88633	2.83501	3.04676	3.00956	2.95668	2.99877	2.94914	2.92505	2.95645	2.93252	2.87344	2.92928	2.8742	2.86301	3.0502	2.99285	2.96866	2.96559	3.76248	3.66581	3.83887	3.78973	3.75854	3.70635	3.64538	3.78842	3.76506	3.73679	3.6854	3.69754	3.68314	3.66487	3.60856	3.82304	3.79433	3.73581	3.77562	3.72105	3.70293	4.59141	4.55782	4.47459	4.62617	4.59174	4.57189	4.51448	5.48164	6.85074	6.45933	5.98391	6.28162	7.17801	6.38807	6.4504	0.136557	0.139539	0.143513	0.140976	0.134237	0.140109	0.13961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.293848	-1.84305	-1.08145	0.0582217	0.303263	0.0656546	-0.825752	0.205413	0.136557	0.139539	0.143513	0.140976	0.134237	0.140109	0.13961	0.02695729	0.1769513	0.3502216	0.6719849	1.0504	0.31268	-0.684745	-0.222202	-1.12579	0.184876	1.22803	0.723268
5900	-393.1299	-366.2127	-26.9172	0.671581	0.624791	0.568821	0.603756	0.711188	0.616339	0.62373	2.10306	2.01801	1.9333	1.81897	1.75731	1.82898	2.26536	2.19383	2.09381	1.8819	2.03446	1.90259	1.96954	1.84687	2.07045	1.88276	1.77659	1.85902	1.9223	1.92412	1.98239	3.02608	2.81234	2.81741	2.74634	3.27979	3.18601	3.1071	2.94567	2.8818	2.88546	3.01458	3.0106	2.89867	2.83808	2.74736	2.81527	3.17928	3.07383	3.06565	2.89049	2.85726	2.86989	2.77066	2.80473	2.71677	2.80471	3.00668	2.91434	2.92462	2.85863	2.94054	2.81681	2.90176	2.87205	2.9796	3.84504	4.26563	4.00779	3.98861	3.91737	4.04436	3.84922	3.87666	3.78471	4.24295	4.2117	4.10944	3.99597	3.90974	3.93631	3.88818	3.77592	3.81593	3.72688	4.05807	4.04428	3.9508	3.91892	3.83583	3.87568	3.92506	3.96283	3.84627	3.86815	3.76404	3.8538	4.08692	3.97635	4.01243	3.91791	5.21314	5.05524	5.45966	5.20407	5.21419	5.12211	4.9589	5.26367	5.09167	5.11369	5.02469	5.12911	4.99025	5.05212	4.94451	5.28367	5.30131	5.18763	5.14916	5.0474	5.1089	6.72728	6.58317	6.47603	6.81085	6.59914	6.65258	6.54103	8.60707	3.96504	3.68879	3.35834	3.5646	4.19888	3.63889	3.68252	0.040228	0.0354889	0.0301545	0.033441	0.0444326	0.0346598	0.0353844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.208668	0.965129	-0.86569	2.09326	-1.75933	-0.0326555	-1.01367	0.835493	0.040228	0.0354889	0.0301545	0.033441	0.0444326	0.0346598	0.0353844	0.1462647	1.068959	0.682631	0.630018	-1.13252	0.882664	-0.562448	-0.247826	-2.11135	-0.698656	0.739175	0.716106
6000	-388.2217	-367.3333	-20.88837	0.615254	0.558351	0.492193	0.533237	0.664475	0.548224	0.557078	1.95954	1.89986	1.85187	2.00695	1.9554	1.84845	2.05004	1.99805	1.94109	2.04817	1.96315	1.92819	1.8313	1.91303	2.01327	2.01604	1.97948	1.86949	1.90293	2.06473	1.90599	2.85558	2.95922	2.87664	2.82695	3.00375	2.94537	2.89534	3.05039	2.99872	2.91784	2.92514	2.84713	2.80545	2.94078	2.89788	2.79596	3.01294	2.96925	2.89276	2.98666	2.97603	2.89209	2.84949	2.96247	2.91812	2.81041	3.06374	3.01915	2.93685	3.00755	2.94201	2.90589	2.80318	2.86075	2.99144	3.90719	3.96534	4.07087	3.99704	3.94687	3.87757	3.97601	3.88773	3.84351	4.03614	3.96514	3.92042	4.06443	4.01886	3.93178	3.92532	4.008	3.91569	3.87053	4.08762	4.01283	3.96745	4.09668	4.05019	3.95913	3.98416	3.89522	3.85565	3.97039	3.92985	3.82441	4.07041	4.0295	3.9417	4.01714	5.2242	5.12773	5.18857	5.29565	5.2141	5.16924	5.16445	5.24139	5.33581	5.25099	5.20538	5.13783	5.22543	5.12845	5.08777	5.30458	5.22237	5.18138	5.31086	5.26911	5.17315	6.79866	6.84543	6.73669	6.80767	6.91088	6.81833	6.77831	9.00817	0.108082	0.0980854	0.0864635	0.0936737	0.116728	0.0963065	0.0978617	0.0484268	0.0490056	0.0497681	0.0492824	0.0479713	0.0491155	0.0490193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466702	-0.158876	-0.345448	1.52457	0.166765	-0.965688	-1.36218	-0.329667	0.0484268	0.0490056	0.0497681	0.0492824	0.0479713	0.0491155	0.0490193	0.1758269	0.129646	0.08764414	0.5646342	0.161386	1.13915	-0.49192	0.543338	-0.417602	-0.251873	-1.60095	-0.630685
6100	-384.3451	-365.3963	-18.94884	0.646378	0.639486	0.630641	0.636244	0.651885	0.638195	0.639325	1.44025	1.41908	1.39695	1.34571	1.33497	1.36361	1.48742	1.46873	1.4399	1.35746	1.41407	1.37612	1.4137	1.36155	1.41807	1.36091	1.33787	1.37009	1.38561	1.36687	1.40538	2.12711	2.04025	2.05267	2.03836	2.19683	2.17059	2.14956	2.06558	2.05381	2.06719	2.11052	2.12306	2.08997	2.0519	2.03238	2.06331	2.15403	2.12285	2.13467	2.06173	2.05156	2.06719	2.04285	2.04103	2.02157	2.05931	2.08316	2.0612	2.07723	2.051	2.08316	2.04991	2.09143	2.07333	2.08842	2.75179	2.89277	2.77506	2.78205	2.76727	2.8264	2.74608	2.76622	2.74471	2.86894	2.87182	2.84127	2.77691	2.7578	2.77873	2.76352	2.72209	2.74519	2.72432	2.78988	2.79947	2.77548	2.75111	2.73286	2.75708	2.76766	2.79427	2.76147	2.75421	2.72874	2.77003	2.80609	2.77612	2.80296	2.76338	3.51571	3.48538	3.61767	3.50496	3.52179	3.49961	3.45173	3.53154	3.46597	3.48579	3.46463	3.50803	3.45452	3.48672	3.45882	3.52994	3.55167	3.51904	3.49002	3.46505	3.49817	4.2975	4.24486	4.23217	4.3256	4.24315	4.27485	4.24534	5.10451	0.602929	0.596501	0.58825	0.593477	0.608066	0.595296	0.596351	0.0735764	0.0753924	0.0778193	0.0762691	0.0721684	0.0757398	0.0754356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.473227	0.746867	-1.01635	1.15251	0.342223	0.559316	-0.15045	-0.609267	0.0735764	0.0753924	0.0778193	0.0762691	0.0721684	0.0757398	0.0754356	0.02186765	0.07787428	0.04664888	0.640276	0.719454	0.205413	0.875526	-0.00616397	0.409659	0.0842179	0.530508	-1.0811
6200	-390.0841	-367.4364	-22.64765	0.55186	0.557918	0.56589	0.560815	0.547111	0.559069	0.558062	1.57111	1.57057	1.56528	1.49031	1.49109	1.54222	1.58165	1.5808	1.57621	1.49355	1.55447	1.53413	1.57977	1.52579	1.54848	1.5027	1.48809	1.5427	1.54656	1.49839	1.5594	2.35331	2.27178	2.299	2.29704	2.36659	2.36384	2.36065	2.27681	2.27715	2.30329	2.32901	2.35234	2.33896	2.28329	2.27447	2.32272	2.34144	2.33025	2.35204	2.28241	2.27705	2.30638	2.29572	2.26856	2.26095	2.31567	2.28678	2.27837	2.30646	2.26833	2.30678	2.28847	2.34035	2.31528	2.30169	3.10686	3.18645	3.09599	3.11447	3.11268	3.16139	3.08577	3.11997	3.11147	3.15954	3.17439	3.1643	3.09464	3.08784	3.12131	3.11117	3.05847	3.09703	3.08953	3.1023	3.12224	3.11401	3.06646	3.06071	3.09866	3.10097	3.13743	3.12211	3.09173	3.07923	3.1333	3.11372	3.10013	3.13572	3.08992	4.03675	4.02745	4.10278	4.01185	4.03959	4.03134	3.99356	4.04289	3.97316	4.0048	3.99751	4.04138	3.98133	4.02622	4.0131	4.02741	4.05683	4.04273	3.99387	3.98234	4.02668	5.1442	5.09644	5.10273	5.16045	5.07915	5.12037	5.10617	6.51749	0.0794907	0.0803634	0.0815117	0.0807806	0.0788067	0.0805291	0.080384	0.0275494	0.0294096	0.0320161	0.0303352	0.0261566	0.0297742	0.0294549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.105844	-0.195755	-1.32379	0.363742	0.917158	-1.96457	0.153251	0.64525	0.0275494	0.0294096	0.0320161	0.0303352	0.0261566	0.0297742	0.0294549	0.09132503	0.1631168	0.07999624	0.5572176	-1.24096	-0.804963	-0.00303913	-0.303579	-1.05217	-0.176777	-1.75507	-0.729691
6300	-388.7532	-366.5843	-22.16891	0.693056	0.638361	0.573681	0.613954	0.739743	0.62854	0.637127	1.86242	1.80511	1.76062	1.92284	1.8746	1.76139	1.94636	1.89717	1.84288	1.96011	1.86828	1.839	1.73885	1.82628	1.91615	1.92834	1.89807	1.78128	1.8127	1.97459	1.81352	2.71397	2.82654	2.74271	2.69651	2.85286	2.79695	2.75002	2.91039	2.86186	2.78021	2.78427	2.70608	2.6688	2.80715	2.76907	2.66243	2.86486	2.82519	2.74882	2.85013	2.84148	2.75619	2.71814	2.83097	2.79112	2.67763	2.92144	2.88106	2.7978	2.87297	2.80394	2.77343	2.66643	2.72581	2.85104	3.70623	3.7486	3.86212	3.78877	3.74192	3.66967	3.77612	3.68576	3.64588	3.82015	3.75005	3.70919	3.8569	3.81547	3.72664	3.72284	3.81177	3.71666	3.67567	3.87718	3.8028	3.76135	3.89273	3.85022	3.75675	3.78094	3.6901	3.65536	3.76997	3.73445	3.62406	3.85945	3.82317	3.73376	3.814	4.8851	4.79702	4.84235	4.95786	4.87561	4.83488	4.83796	4.90074	5.00262	4.9166	4.87502	4.80431	4.89866	4.79828	4.76243	4.96384	4.881	4.84453	4.97601	4.93897	4.83993	6.22025	6.27244	6.17033	6.22646	6.33835	6.24345	6.2083	8.01247	0.81036	0.746407	0.670781	0.71787	0.864949	0.734925	0.744966	0.0120905	0.0118363	0.0115139	0.0117177	0.0122968	0.011789	0.0118304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0783607	0.292486	-1.07745	-0.367343	-0.298276	2.14531	-1.15387	-0.281692	0.0120905	0.0118363	0.0115139	0.0117177	0.0122968	0.011789	0.0118304	0.1217123	0.09233197	0.0733005	0.6444407	0.515968	-0.0582366	-0.228105	-0.274514	-0.140417	-1.49333	-1.31401	1.09782
6400	-385.9534	-367.9973	-17.95611	0.760236	0.7398	0.714062	0.730302	0.776837	0.736008	0.739326	2.08302	1.99588	1.90193	1.66652	1.63191	1.75618	2.3013	2.21779	2.08833	1.70662	1.95701	1.79507	1.98543	1.73739	1.96598	1.72223	1.64027	1.77996	1.84021	1.74039	1.92836	2.98369	2.57646	2.6438	2.59341	3.29152	3.17481	3.08264	2.6621	2.62302	2.69727	2.88823	2.96675	2.82013	2.63124	2.56138	2.70234	3.07341	2.93449	3.01222	2.66616	2.6202	2.70287	2.60849	2.58657	2.51507	2.68612	2.73388	2.65062	2.73732	2.62138	2.76337	2.62821	2.82735	2.73552	2.77851	3.56991	4.21597	3.62871	3.67934	3.62638	3.91609	3.53827	3.63923	3.55778	4.0772	4.11324	3.97514	3.64929	3.57957	3.68632	3.61816	3.43994	3.54948	3.46968	3.69136	3.75557	3.65892	3.5426	3.47582	3.59244	3.62615	3.76328	3.62504	3.57729	3.47868	3.67176	3.7761	3.65301	3.7928	3.60998	4.72484	4.62613	5.22372	4.67163	4.76434	4.67892	4.48204	4.79496	4.50737	4.60844	4.52707	4.72297	4.4851	4.63825	4.52628	4.77893	4.9002	4.76071	4.6178	4.52129	4.68067	5.94332	5.71302	5.68822	6.06931	5.69888	5.85468	5.73554	7.18045	0.243837	0.237282	0.229027	0.234236	0.249161	0.236066	0.23713	0.0129002	0.0125667	0.0121462	0.0124116	0.0131707	0.0125048	0.012559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.633293	-1.02302	-0.209063	0.00533846	-0.367599	-0.711468	-0.382465	-0.342921	0.0129002	0.0125667	0.0121462	0.0124116	0.0131707	0.0125048	0.012559	0.07011603	0.01521716	0.02412084	0.7421274	0.129089	0.818441	0.230083	0.532747	-0.574673	-0.100678	-0.808419	-0.623915
