Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	lambda[99]	lambda[100]	lambda[101]	lambda[102]	lambda[103]	lambda[104]	lambda[105]	lambda[106]	lambda[107]	lambda[108]	lambda[109]	lambda[110]	lambda[111]	lambda[112]	lambda[113]	lambda[114]	lambda[115]	lambda[116]	lambda[117]	lambda[118]	lambda[119]	lambda[120]	lambda[121]	lambda[122]	lambda[123]	lambda[124]	lambda[125]	lambda[126]	lambda[127]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	mu[99]	mu[100]	mu[101]	mu[102]	mu[103]	mu[104]	mu[105]	mu[106]	mu[107]	mu[108]	mu[109]	mu[110]	mu[111]	mu[112]	mu[113]	mu[114]	mu[115]	mu[116]	mu[117]	mu[118]	mu[119]	mu[120]	mu[121]	mu[122]	mu[123]	mu[124]	mu[125]	mu[126]	mu[127]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
0	-396.3254	-371.0409	-25.28454	0.517033	0.537648	0.56567	0.547709	0.501248	0.541627	0.538142	1.27135	1.33556	1.41524	2.20286	2.3649	1.62876	1.16704	1.20659	1.27623	2.00474	1.35873	1.57865	1.35107	1.71527	1.34976	1.8768	2.3616	1.58721	1.4916	1.85288	1.38725	2.00449	2.57195	2.36163	2.46345	1.81747	1.87901	1.93195	2.34574	2.42441	2.26998	2.06058	2.02014	2.13746	2.45034	2.68396	2.27846	1.91124	2.0045	1.98134	2.40698	2.45094	2.28451	2.43337	2.65076	2.88101	2.34856	2.21674	2.36259	2.22071	2.58199	2.19215	2.41512	2.13134	2.25454	2.18018	3.07353	2.5544	2.94133	2.88705	2.96209	2.75613	3.19307	3.01634	3.15962	2.59817	2.60955	2.69187	2.97209	3.09892	2.95815	3.01814	3.41624	3.19747	3.33479	2.86349	2.82726	2.92538	3.16462	3.28951	3.11694	2.99564	2.87765	3.02225	3.15814	3.37146	3.01864	2.80144	2.92925	2.83608	3.12911	3.64099	3.87891	3.36921	3.7408	3.67097	3.78373	4.1043	3.59249	3.95166	3.86718	3.97961	3.75244	4.13226	3.91824	4.08304	3.60065	3.55824	3.67408	3.88434	4.03847	3.86154	4.59896	4.83187	5.03342	4.49274	4.89155	4.77368	4.92409	6.02795	0.314674	0.32722	0.344275	0.333344	0.305067	0.329642	0.327521	0.00898681	0.00956485	0.010372	0.00985183	0.0085528	0.00967796	0.0095789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.877074	-0.457323	-0.124684	1.02577	0.875013	-1.9697	0.548772	0.080708	0.00898681	0.00956485	0.010372	0.00985183	0.0085528	0.00967796	0.0095789	0.08054627	1.083721	0.0419737	0.5352292	-0.288581	0.773807	0.16683	-2.09444	0.432633	-2.13669	-0.863197	-0.294288
100	-393.5211	-366.7976	-26.72355	0.72612	0.755624	0.795766	0.770032	0.703524	0.761321	0.756333	1.94691	1.88697	1.81354	1.53038	1.55418	1.68481	2.27026	2.15614	1.99113	1.51862	1.76605	1.64234	1.94345	1.61911	1.73407	1.5396	1.54021	1.68371	1.6997	1.51803	1.78634	2.8021	2.32609	2.43951	2.45199	3.14458	2.99942	2.90464	2.29479	2.31636	2.4391	2.60245	2.79072	2.64824	2.37928	2.38333	2.54005	2.74091	2.6063	2.80922	2.36942	2.3345	2.46417	2.4441	2.34545	2.34494	2.53	2.32269	2.31533	2.45177	2.33457	2.47501	2.40714	2.65832	2.51728	2.45099	3.23956	3.94887	3.11336	3.22878	3.23913	3.6105	3.17258	3.31428	3.30437	3.62914	3.78724	3.63405	3.16174	3.16451	3.31586	3.25973	3.11249	3.24433	3.2319	3.14194	3.27723	3.24711	3.09549	3.09823	3.24002	3.21696	3.42077	3.3367	3.2116	3.18788	3.40868	3.25493	3.1974	3.40678	3.20308	4.07297	4.12912	4.71952	3.99603	4.14512	4.13137	4.02673	4.12032	3.89665	4.03139	4.01854	4.19378	3.98118	4.15831	4.11558	4.06464	4.26932	4.18107	3.99078	3.96958	4.15827	5.03124	4.86796	4.96038	5.13386	4.81622	5.00346	4.95676	5.89609	0.19802	0.206066	0.217013	0.209995	0.191858	0.20762	0.20626	0.10715	0.108004	0.109123	0.108411	0.106485	0.108166	0.108024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.37957	1.46179	-0.35142	0.35289	0.111415	2.68693	0.559063	-0.791729	0.10715	0.108004	0.109123	0.108411	0.106485	0.108166	0.108024	0.02318663	0.1378533	1.090167	0.7521589	-1.16763	-0.795117	0.463575	-1.10037	-1.465	-0.65053	-0.560886	-1.12674
200	-388.112	-366.8215	-21.29047	0.605168	0.59396	0.579704	0.588717	0.614202	0.591869	0.593699	2.68754	2.54049	2.36708	1.73861	1.69029	2.04879	3.08969	2.94795	2.71506	1.80876	2.4188	2.08373	2.55732	1.96332	2.41217	1.86248	1.69354	2.08858	2.2	1.8762	2.39	3.7852	2.82786	3.03236	2.94707	4.34558	4.14053	3.97596	2.97437	2.91535	3.13237	3.53946	3.75385	3.46384	2.96071	2.82485	3.21307	3.89034	3.61915	3.82824	3.01422	2.91638	3.15506	2.96639	2.8432	2.70625	3.16467	3.12817	2.9645	3.2095	2.89746	3.25508	2.97344	3.48077	3.2425	3.26186	4.16454	5.52177	4.20901	4.36406	4.27339	4.93372	4.0442	4.32793	4.16891	5.19225	5.30709	5.04104	4.24866	4.11532	4.4095	4.25971	3.79476	4.10526	3.95188	4.33696	4.52058	4.33204	3.98008	3.85486	4.1791	4.23756	4.59446	4.3131	4.13207	3.9325	4.43324	4.52531	4.27513	4.6361	4.17939	5.81974	5.63846	6.89802	5.6477	5.90307	5.73605	5.28648	5.96055	5.24301	5.52536	5.36858	5.84656	5.2514	5.65883	5.43193	5.88017	6.19187	5.9103	5.50508	5.31048	5.72946	7.73965	7.18896	7.18679	8.00847	7.10967	7.51657	7.27281	9.81732	1.10821	1.08769	1.06158	1.07809	1.12476	1.08386	1.08721	0.0162719	0.0174232	0.0190419	0.0179973	0.0154134	0.0176493	0.0174513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.531473	1.32505	-0.434472	0.973311	0.959537	0.401507	-0.262406	-0.34795	0.0162719	0.0174232	0.0190419	0.0179973	0.0154134	0.0176493	0.0174513	0.198907	0.3514479	0.01951744	0.5952408	-1.21384	-0.0879616	-1.18302	0.0508016	1.19074	-1.35487	0.399376	-0.319719
300	-385.5585	-366.4879	-19.07063	0.560951	0.569972	0.581911	0.5743	0.553911	0.57169	0.570186	1.47576	1.45756	1.42967	1.26416	1.26458	1.36245	1.54587	1.52543	1.48789	1.27119	1.41688	1.35192	1.47513	1.32982	1.40614	1.28753	1.26006	1.36632	1.38215	1.28149	1.42217	2.17874	1.95047	2.01251	2.00447	2.26978	2.23857	2.21284	1.96354	1.96152	2.02629	2.10987	2.17379	2.11937	1.98302	1.96326	2.06767	2.16893	2.11888	2.18146	1.98608	1.96554	2.03537	2.00364	1.954	1.93407	2.05456	1.99352	1.96752	2.03867	1.95726	2.04521	1.99226	2.12351	2.05941	2.03753	2.70881	2.99139	2.68348	2.73391	2.72467	2.88083	2.66807	2.74827	2.72332	2.90379	2.94489	2.89608	2.69434	2.67524	2.75772	2.7253	2.60869	2.69519	2.67158	2.70744	2.76433	2.7328	2.63062	2.61341	2.70293	2.70718	2.80385	2.75116	2.68834	2.6541	2.78403	2.7523	2.70667	2.80416	2.68994	3.50559	3.48653	3.74712	3.453	3.52644	3.49971	3.4038	3.53238	3.35811	3.4379	3.41353	3.52886	3.38268	3.49124	3.45084	3.50088	3.58696	3.53431	3.42017	3.38708	3.49816	4.38743	4.25934	4.28143	4.44346	4.22801	4.33622	4.29198	5.30718	1.40536	1.42796	1.45787	1.43881	1.38772	1.43227	1.4285	0.0600629	0.0591939	0.0580834	0.0587862	0.0607612	0.0590315	0.0591736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.520248	0.359494	-0.146031	0.390393	-0.204562	-0.0118168	0.223923	0.800837	0.0600629	0.0591939	0.0580834	0.0587862	0.0607612	0.0590315	0.0591736	0.04660202	0.04211617	0.4953803	0.5689261	-0.60384	0.0405553	-1.03477	1.0883	-1.10127	-1.00679	-0.112791	0.511396
400	-388.4879	-365.4377	-23.05026	0.575362	0.506333	0.428851	0.476558	0.63675	0.494275	0.504813	1.35366	1.23634	1.12216	1.10136	1.02677	1.01702	1.61246	1.49725	1.34762	1.17248	1.26421	1.11605	1.16403	1.06228	1.32128	1.14928	1.05476	1.05286	1.12406	1.21147	1.18905	1.85009	1.66111	1.63115	1.54866	2.22211	2.08059	1.96371	1.81117	1.73457	1.7097	1.84285	1.83016	1.68409	1.6799	1.58961	1.59247	2.06244	1.91997	1.90959	1.7504	1.70593	1.68476	1.58008	1.66883	1.57652	1.59543	1.87011	1.77196	1.75426	1.7389	1.77221	1.64424	1.6871	1.67452	1.83298	2.19723	2.71828	2.39411	2.36048	2.2765	2.41088	2.23843	2.22579	2.12791	2.6752	2.64104	2.49634	2.40199	2.31107	2.30302	2.24648	2.20372	2.19153	2.09349	2.45073	2.42613	2.31762	2.36297	2.27287	2.26573	2.3056	2.31854	2.18513	2.25936	2.15267	2.18765	2.49355	2.37075	2.38627	2.32947	2.97167	2.81134	3.29535	3.00312	2.99064	2.89025	2.75108	3.03511	2.93654	2.92352	2.82469	2.88645	2.80814	2.8212	2.70552	3.08326	3.09233	2.95686	2.98381	2.8783	2.89634	3.64768	3.54306	3.41595	3.74191	3.59337	3.61078	3.4916	4.3027	1.39369	1.22648	1.0388	1.15436	1.54238	1.19727	1.2228	0.0989474	0.0962612	0.0928792	0.095013	0.10113	0.0957628	0.0961989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.901387	1.01791	-0.652443	1.30319	-0.386312	-0.260933	-1.79389	0.43565	0.0989474	0.0962612	0.0928792	0.095013	0.10113	0.0957628	0.0961989	0.02434927	0.5358276	0.8128982	0.5138522	-1.10556	-1.09902	-0.463472	-0.48589	-1.25139	-0.869372	0.343421	0.0462576
500	-393.4932	-365.7969	-27.69625	0.696087	0.696378	0.69676	0.696517	0.695822	0.696433	0.696386	1.56022	1.53882	1.51387	1.43016	1.42671	1.47003	1.6274	1.60366	1.56571	1.4363	1.51754	1.47187	1.544	1.45739	1.5148	1.44286	1.4264	1.47446	1.48813	1.44309	1.51523	2.30354	2.1656	2.19474	2.18646	2.39119	2.35771	2.33212	2.17811	2.17337	2.20528	2.26268	2.29914	2.25623	2.18415	2.17068	2.22073	2.31248	2.27179	2.30893	2.18948	2.17579	2.21002	2.18821	2.17039	2.15595	2.21551	2.19695	2.17886	2.2149	2.17554	2.22235	2.18716	2.25882	2.2235	2.2217	2.93447	3.13751	2.92895	2.95478	2.94562	3.04719	2.91878	2.95833	2.94062	3.07875	3.10214	3.06086	2.93938	2.92564	2.96761	2.94682	2.88975	2.93057	2.913	2.94583	2.97659	2.95308	2.90773	2.89465	2.93821	2.94249	2.99572	2.95814	2.93185	2.90882	2.97697	2.97677	2.94485	2.99937	2.93676	3.72515	3.71212	3.89616	3.70317	3.74184	3.72269	3.66811	3.74538	3.65426	3.69384	3.67577	3.73983	3.66243	3.71781	3.68987	3.73406	3.78397	3.74546	3.69012	3.66777	3.72574	4.54436	4.47338	4.48169	4.58263	4.46314	4.52052	4.49039	5.35206	0.530028	0.53025	0.53054	0.530355	0.529826	0.530291	0.530255	0.0866926	0.0776352	0.0672635	0.0736771	0.0946246	0.0760363	0.0774339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79134	0.381806	-0.708268	0.595534	-1.54888	0.96669	0.00588915	-1.7331	0.0866926	0.0776352	0.0672635	0.0736771	0.0946246	0.0760363	0.0774339	0.01700807	2.125039	0.7495593	0.6963403	-1.29778	1.67495	-1.21127	-1.55403	-1.19269	-0.869346	-0.371774	-0.3959
600	-389.8137	-368.7763	-21.03731	0.783012	0.676364	0.559174	0.630996	0.879417	0.657943	0.674039	1.84147	1.71469	1.59536	1.70473	1.59255	1.52143	2.06899	1.95442	1.82293	1.80965	1.80308	1.66733	1.59186	1.60977	1.8982	1.7638	1.63533	1.56798	1.6496	1.86077	1.69269	2.57551	2.56274	2.46664	2.35135	2.93214	2.80273	2.68559	2.78276	2.66998	2.57296	2.65466	2.55473	2.42632	2.55584	2.43331	2.35977	2.88382	2.75775	2.65621	2.6566	2.6145	2.52084	2.39594	2.55727	2.43593	2.3694	2.83984	2.71737	2.62255	2.65865	2.62755	2.49423	2.4254	2.47514	2.72369	3.344	3.69692	3.67236	3.56713	3.45193	3.43369	3.42737	3.33897	3.21649	3.77286	3.66357	3.53868	3.65177	3.53119	3.44218	3.39489	3.41498	3.3312	3.20979	3.72554	3.62201	3.49951	3.63829	3.51883	3.43462	3.48995	3.40444	3.2741	3.43162	3.30483	3.23812	3.71897	3.59059	3.50426	3.5314	4.53879	4.29451	4.64245	4.61782	4.52274	4.40042	4.27462	4.59188	4.59253	4.50169	4.38041	4.35597	4.36759	4.29098	4.1633	4.68114	4.58818	4.45905	4.59608	4.47025	4.39322	5.63993	5.60432	5.37733	5.70424	5.69182	5.61161	5.48269	6.95838	3.5468	3.06372	2.53289	2.85822	3.98349	2.98028	3.05319	0.0834015	0.0829395	0.082343	0.0827214	0.0837701	0.0828527	0.0829287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.144513	0.288755	-1.01973	0.817283	-0.0779618	0.164783	-2.05512	-0.530136	0.0834015	0.0829395	0.082343	0.0827214	0.0837701	0.0828527	0.0829287	0.07322158	0.301886	0.133341	0.6878807	0.922207	-0.879643	-0.406075	-0.818084	-0.57886	0.123298	0.219248	1.03408
700	-395.5433	-365.6602	-29.88305	0.728666	0.721944	0.713306	0.718779	0.73399	0.720683	0.721788	1.56341	1.5517	1.54093	1.53129	1.52283	1.52869	1.58335	1.57408	1.56085	1.53931	1.55576	1.53979	1.54443	1.53277	1.56071	1.53933	1.52576	1.53281	1.54139	1.54485	1.54843	2.32793	2.30649	2.30454	2.29509	2.36031	2.34775	2.33766	2.32389	2.31524	2.31303	2.32904	2.32592	2.31225	2.3089	2.29718	2.30234	2.34945	2.33651	2.3329	2.31563	2.31226	2.31109	2.29859	2.30539	2.29403	2.30141	2.33137	2.31963	2.31812	2.31231	2.32099	2.30581	2.31254	2.31099	2.32626	3.08524	3.13386	3.10847	3.10367	3.09424	3.10716	3.08776	3.08826	3.07653	3.13391	3.12782	3.11525	3.10658	3.09545	3.09578	3.09075	3.07987	3.08181	3.07042	3.11471	3.11046	3.09869	3.09832	3.08755	3.08939	3.09696	3.09841	3.08415	3.08971	3.07662	3.08399	3.11727	3.10363	3.10485	3.09614	3.91217	3.89165	3.93866	3.91329	3.91171	3.90001	3.88135	3.91839	3.90126	3.90102	3.88966	3.90052	3.8869	3.89114	3.87775	3.92275	3.92187	3.90798	3.90702	3.89422	3.89835	4.76266	4.74732	4.7323	4.77246	4.75114	4.75429	4.74049	5.67183	10.6565	10.5582	10.4319	10.5119	10.7344	10.5397	10.5559	0.104969	0.102926	0.10033	0.101971	0.106619	0.102545	0.102879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.156862	0.858183	-0.400262	0.162546	-0.275879	0.282904	-0.130053	-2.44993	0.104969	0.102926	0.10033	0.101971	0.106619	0.102545	0.102879	0.02139098	0.8114248	0.3470697	0.7227097	1.27418	-1.78104	-2.79588	0.245661	-0.0352584	-1.13518	2.33359	-0.153338
800	-400.4624	-367.602	-32.86032	0.563908	0.507944	0.443434	0.483382	0.612605	0.498029	0.506697	1.54767	1.43726	1.32573	1.20704	1.1393	1.19585	1.78587	1.68389	1.54293	1.27518	1.44595	1.28085	1.38174	1.21822	1.48909	1.26855	1.16206	1.23074	1.30495	1.31864	1.38284	2.15072	1.86451	1.87289	1.7928	2.50229	2.37091	2.26165	2.00939	1.9381	1.95124	2.11678	2.13082	1.9794	1.89999	1.8038	1.87173	2.33413	2.18886	2.20164	1.96329	1.91537	1.93542	1.82087	1.86991	1.77292	1.86432	2.08212	1.97606	1.99871	1.9333	2.01967	1.87375	1.98401	1.94061	2.06743	2.54384	3.128	2.7134	2.70686	2.62486	2.81873	2.55529	2.59003	2.48548	3.06356	3.04438	2.90037	2.71975	2.62404	2.66275	2.59751	2.48209	2.52477	2.42184	2.77817	2.78164	2.6663	2.64009	2.5469	2.59462	2.6409	2.70177	2.5548	2.58412	2.4661	2.57303	2.83436	2.69842	2.76099	2.6455	3.47865	3.31455	3.86383	3.47298	3.49964	3.39221	3.20642	3.54839	3.34802	3.38261	3.27849	3.40603	3.24571	3.32152	3.19378	3.57263	3.61964	3.47218	3.42683	3.31045	3.39059	4.38732	4.2123	4.10715	4.5002	4.23743	4.31412	4.18076	5.33696	0.0217814	0.0196197	0.017128	0.018671	0.0236623	0.0192367	0.0195715	0.0276127	0.027209	0.0266931	0.0270196	0.0279374	0.0271335	0.0271996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.577069	0.32242	-0.688872	-1.36137	-0.206762	0.13611	-1.46704	-2.39983	0.0276127	0.027209	0.0266931	0.0270196	0.0279374	0.0271335	0.0271996	0.06068718	0.7822351	0.5849437	0.5140988	1.29249	-0.587237	-2.56518	-0.656971	-1.3168	-1.7232	-1.99028	-2.00035
900	-389.7514	-365.0368	-24.71465	0.57829	0.561373	0.540126	0.553525	0.592069	0.558239	0.560981	1.24652	1.19903	1.15632	1.13694	1.11905	1.11552	1.38291	1.32438	1.24612	1.15265	1.19538	1.14286	1.18446	1.12711	1.20681	1.14858	1.12646	1.1257	1.14838	1.16255	1.17565	1.79454	1.70437	1.69811	1.678	1.96328	1.8902	1.84042	1.73869	1.72041	1.71605	1.77158	1.78723	1.72783	1.71078	1.68916	1.69135	1.84811	1.79103	1.81123	1.727	1.71601	1.71333	1.68679	1.70786	1.68529	1.69374	1.75405	1.73029	1.72901	1.72388	1.74233	1.70431	1.72966	1.71649	1.75571	2.26592	2.49258	2.30984	2.30434	2.28382	2.35744	2.27755	2.27724	2.25268	2.43509	2.44524	2.38179	2.31593	2.29407	2.29584	2.28034	2.27012	2.26685	2.24164	2.32553	2.32461	2.29584	2.30729	2.28536	2.28423	2.2968	2.31175	2.26998	2.28509	2.25774	2.27438	2.34625	2.31103	2.32713	2.30174	2.87945	2.84708	3.03925	2.88949	2.89103	2.86574	2.83091	2.89963	2.87508	2.87252	2.84732	2.87116	2.84681	2.85319	2.82155	2.91378	2.92902	2.88667	2.88942	2.86264	2.87166	3.47293	3.44547	3.41918	3.50521	3.46038	3.46887	3.4366	4.04994	6.92319	6.72066	6.46629	6.6267	7.08815	6.68314	6.71597	0.078118	0.0842868	0.0930369	0.0873801	0.0735464	0.0855036	0.0844376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.60543	-0.00558857	-0.730707	2.48908	1.06682	-0.766096	-0.416741	-0.0226318	0.078118	0.0842868	0.0930369	0.0873801	0.0735464	0.0855036	0.0844376	0.003953268	0.6539699	0.167751	0.5632985	1.49933	0.363224	0.248433	-0.538139	-0.0609084	-0.776523	0.328387	1.61041
