Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-1517.895	-1514.768	-3.126534	2.409936	0.716598	0.716598	0.3511532	0.6488468	1e-06	0.351153	1e-06	1e-06	0.648847	1e-06	0.351153	0.648847
500	-926.3065	-924.3218	-1.984705	1.873407	0.111298	0.111298	0.08265601	0.917344	1e-06	0.082656	1e-06	1e-06	0.917344	1e-06	0.082656	0.917344
1000	-776.4227	-775.0682	-1.354476	1.320041	0.0344345	0.0344345	0.06951327	0.9304867	1e-06	0.0695133	1e-06	1e-06	0.930487	1e-06	0.0695133	0.930487
1500	-720.4867	-719.2555	-1.231188	1.225444	0.00574419	0.00574419	0.06938584	0.9306142	1e-06	0.0693858	1e-06	1e-06	0.930614	1e-06	0.0693858	0.930614
2000	-748.8366	-747.732	-1.104612	1.092397	0.0122153	0.0122153	0.09274666	0.9072533	1e-06	0.0927467	1e-06	1e-06	0.907253	1e-06	0.0927467	0.907253
2500	-707.8498	-706.7912	-1.058614	0.9967525	0.0618619	0.0618619	0.07057313	0.9294269	1e-06	0.0705731	1e-06	1e-06	0.929427	1e-06	0.0705731	0.929427
3000	-730.9657	-729.7044	-1.261262	1.14357	0.117692	0.117692	0.07200536	0.9279946	1e-06	0.0720054	1e-06	1e-06	0.927995	1e-06	0.0720054	0.927995
3500	-744.6045	-743.2474	-1.357115	1.094507	0.262608	0.262608	0.09828935	0.9017107	1e-06	0.0982893	1e-06	1e-06	0.901711	1e-06	0.0982893	0.901711
4000	-726.3328	-724.9079	-1.424873	1.073538	0.351335	0.351335	0.07767076	0.9223292	1e-06	0.0776708	1e-06	1e-06	0.922329	1e-06	0.0776708	0.922329
4500	-741.2073	-740.0743	-1.133025	1.098347	0.0346776	0.0346776	0.08525123	0.9147488	1e-06	0.0852512	1e-06	1e-06	0.914749	1e-06	0.0852512	0.914749
5000	-756.7983	-755.3088	-1.489448	1.205067	0.284381	0.284381	0.07005228	0.9299477	1e-06	0.0700523	1e-06	1e-06	0.929948	1e-06	0.0700523	0.929948
5500	-696.9058	-695.7969	-1.108832	1.090455	0.0183769	0.0183769	0.05573317	0.9442668	1e-06	0.0557332	1e-06	1e-06	0.944267	1e-06	0.0557332	0.944267
6000	-723.0233	-721.6949	-1.328401	1.253121	0.07528	0.07528	0.06892747	0.9310725	1e-06	0.0689275	1e-06	1e-06	0.931073	1e-06	0.0689275	0.931073
6500	-805.6661	-804.355	-1.311076	1.310665	0.000410522	0.000410522	0.08536749	0.9146325	1e-06	0.0853675	1e-06	1e-06	0.914633	1e-06	0.0853675	0.914633
7000	-685.8919	-684.68	-1.211876	1.071583	0.140293	0.140293	0.07913446	0.9208655	1e-06	0.0791345	1e-06	1e-06	0.920866	1e-06	0.0791345	0.920866
7500	-695.6474	-694.3781	-1.269307	1.096464	0.172843	0.172843	0.06419623	0.9358038	1e-06	0.0641962	1e-06	1e-06	0.935804	1e-06	0.0641962	0.935804
8000	-676.8636	-675.7486	-1.114927	1.050638	0.0642891	0.0642891	0.06059481	0.9394052	1e-06	0.0605948	1e-06	1e-06	0.939405	1e-06	0.0605948	0.939405
8500	-675.9436	-675.0847	-0.8588613	0.8205029	0.0383584	0.0383584	0.0978711	0.9021289	1e-06	0.0978711	1e-06	1e-06	0.902129	1e-06	0.0978711	0.902129
9000	-669.684	-668.7457	-0.9383733	0.8704379	0.0679355	0.0679355	0.07796296	0.922037	1e-06	0.077963	1e-06	1e-06	0.922037	1e-06	0.077963	0.922037
9500	-680.4682	-679.4186	-1.049558	1.048235	0.00132359	0.00132359	0.072927	0.927073	1e-06	0.072927	1e-06	1e-06	0.927073	1e-06	0.072927	0.927073
10000	-717.1733	-716.1336	-1.03964	1.035193	0.00444769	0.00444769	0.07620618	0.9237938	1e-06	0.0762062	1e-06	1e-06	0.923794	1e-06	0.0762062	0.923794
10500	-653.1574	-652.008	-1.149388	1.056366	0.0930212	0.0930212	0.06510251	0.9348975	1e-06	0.0651025	1e-06	1e-06	0.934897	1e-06	0.0651025	0.934897
11000	-653.2672	-652.1969	-1.07033	0.9940803	0.0762496	0.0762496	0.06827296	0.931727	1e-06	0.068273	1e-06	1e-06	0.931727	1e-06	0.068273	0.931727
11500	-639.5282	-638.6047	-0.9234667	0.9171062	0.00636044	0.00636044	0.07901775	0.9209823	1e-06	0.0790177	1e-06	1e-06	0.920982	1e-06	0.0790177	0.920982
12000	-649.8102	-648.7516	-1.058563	0.982086	0.076477	0.076477	0.07675132	0.9232487	1e-06	0.0767513	1e-06	1e-06	0.923249	1e-06	0.0767513	0.923249
12500	-664.051	-662.98	-1.07097	1.060177	0.0107928	0.0107928	0.05810366	0.9418963	1e-06	0.0581037	1e-06	1e-06	0.941896	1e-06	0.0581037	0.941896
13000	-714.5496	-713.598	-0.9516144	0.8733672	0.0782472	0.0782472	0.09535415	0.9046459	1e-06	0.0953541	1e-06	1e-06	0.904646	1e-06	0.0953541	0.904646
13500	-692.194	-691.0981	-1.095834	1.010246	0.0855875	0.0855875	0.08078864	0.9192114	1e-06	0.0807886	1e-06	1e-06	0.919211	1e-06	0.0807886	0.919211
14000	-693.501	-692.4488	-1.052117	0.9417104	0.110406	0.110406	0.07453836	0.9254616	1e-06	0.0745384	1e-06	1e-06	0.925462	1e-06	0.0745384	0.925462
14500	-704.9377	-703.7583	-1.179322	1.020293	0.15903	0.15903	0.0703093	0.9296907	1e-06	0.0703093	1e-06	1e-06	0.929691	1e-06	0.0703093	0.929691
15000	-688.5456	-687.6071	-0.9384843	0.8970863	0.041398	0.041398	0.09277171	0.9072283	1e-06	0.0927717	1e-06	1e-06	0.907228	1e-06	0.0927717	0.907228
15500	-704.7489	-703.7503	-0.9986545	0.9078679	0.0907866	0.0907866	0.09408707	0.9059129	1e-06	0.0940871	1e-06	1e-06	0.905913	1e-06	0.0940871	0.905913
16000	-748.7798	-747.5959	-1.183889	1.182585	0.0013042	0.0013042	0.07435185	0.9256482	1e-06	0.0743518	1e-06	1e-06	0.925648	1e-06	0.0743518	0.925648
