Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
16500	-706.3558	-705.2191	-1.136678	1.045584	0.0910937	0.0910937	0.08223683	0.9177632	1e-06	0.0822368	1e-06	1e-06	0.917763	1e-06	0.0822368	0.917763
17000	-681.4254	-680.3193	-1.106091	0.9500494	0.156042	0.156042	0.07927321	0.9207268	1e-06	0.0792732	1e-06	1e-06	0.920727	1e-06	0.0792732	0.920727
17500	-723.6401	-722.4114	-1.228712	1.080338	0.148374	0.148374	0.0880162	0.9119838	1e-06	0.0880162	1e-06	1e-06	0.911984	1e-06	0.0880162	0.911984
18000	-706.4132	-705.4346	-0.9786353	0.9508022	0.0278332	0.0278332	0.08391252	0.9160875	1e-06	0.0839125	1e-06	1e-06	0.916087	1e-06	0.0839125	0.916087
18500	-688.8158	-687.6052	-1.210614	1.120034	0.0905794	0.0905794	0.0730809	0.9269191	1e-06	0.0730809	1e-06	1e-06	0.926919	1e-06	0.0730809	0.926919
19000	-654.0574	-653.0886	-0.968774	0.9642111	0.00456282	0.00456282	0.06920316	0.9307968	1e-06	0.0692032	1e-06	1e-06	0.930797	1e-06	0.0692032	0.930797
19500	-715.1415	-713.9441	-1.197383	1.057099	0.140283	0.140283	0.0840195	0.9159805	1e-06	0.0840195	1e-06	1e-06	0.91598	1e-06	0.0840195	0.91598
20000	-703.3071	-702.2253	-1.081839	1.032201	0.0496381	0.0496381	0.06983676	0.9301632	1e-06	0.0698368	1e-06	1e-06	0.930163	1e-06	0.0698368	0.930163
20500	-722.2878	-721.0778	-1.210061	1.196766	0.0132951	0.0132951	0.06087842	0.9391216	1e-06	0.0608784	1e-06	1e-06	0.939122	1e-06	0.0608784	0.939122
21000	-722.0085	-720.9173	-1.091188	1.042225	0.0489633	0.0489633	0.09056507	0.9094349	1e-06	0.0905651	1e-06	1e-06	0.909435	1e-06	0.0905651	0.909435
21500	-692.5219	-691.4602	-1.061624	1.049473	0.0121511	0.0121511	0.07052937	0.9294706	1e-06	0.0705294	1e-06	1e-06	0.929471	1e-06	0.0705294	0.929471
22000	-683.7945	-682.4292	-1.365315	1.055957	0.309358	0.309358	0.06239749	0.9376025	1e-06	0.0623975	1e-06	1e-06	0.937603	1e-06	0.0623975	0.937603
22500	-720.7345	-719.4997	-1.234707	1.213376	0.0213311	0.0213311	0.07061884	0.9293812	1e-06	0.0706188	1e-06	1e-06	0.929381	1e-06	0.0706188	0.929381
23000	-700.0736	-698.8729	-1.200727	1.133183	0.0675434	0.0675434	0.07186832	0.9281317	1e-06	0.0718683	1e-06	1e-06	0.928132	1e-06	0.0718683	0.928132
23500	-713.8944	-712.7803	-1.114111	1.093074	0.021037	0.021037	0.07574029	0.9242597	1e-06	0.0757403	1e-06	1e-06	0.92426	1e-06	0.0757403	0.92426
24000	-665.1247	-664.111	-1.013735	0.9889227	0.0248119	0.0248119	0.07099857	0.9290014	1e-06	0.0709986	1e-06	1e-06	0.929001	1e-06	0.0709986	0.929001
24500	-722.5468	-721.2707	-1.276118	1.228327	0.0477913	0.0477913	0.07466995	0.92533	1e-06	0.07467	1e-06	1e-06	0.92533	1e-06	0.07467	0.92533
25000	-691.757	-690.6283	-1.128701	1.05394	0.0747607	0.0747607	0.06378137	0.9362186	1e-06	0.0637814	1e-06	1e-06	0.936219	1e-06	0.0637814	0.936219
