"SA","EP","WP","NA","PTP","AF","NT"
2486763.02861503,5273664.92295167,6042550.33411579,15937605.9643608,2660825.07256541,7331952.31242579,13826552.8676995
5100107.31205603,2284362.10181022,7536156.72386436,16562269.9481335,3348915.47162114,10385915.0982538,16853400.2540074
6344603.00946189,7593813.55400465,3004233.83438652,10772904.3242074,4791100.95874202,6012140.3645124,10376450.971343
16082152.7750101,16979875.1723459,10909056.6171658,2713684.68648276,14820100.6750065,11945903.7943133,9277736.21239789
2810220.70559447,3681493.35789835,5132248.80691675,14924867.4749214,1150888.35272049,7340937.48637019,14020674.4326476
7292733.19642929,10875905.83406,5900824.77699603,12268824.6281984,7577572.37876527,3053748.85902454,7257790.34922428
13941369.5398067,16758912.0146525,10469926.2506568,9283902.06317648,13615006.1473363,7678191.13301714,2771871.4049701
