Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	lambda[99]	lambda[100]	lambda[101]	lambda[102]	lambda[103]	lambda[104]	lambda[105]	lambda[106]	lambda[107]	lambda[108]	lambda[109]	lambda[110]	lambda[111]	lambda[112]	lambda[113]	lambda[114]	lambda[115]	lambda[116]	lambda[117]	lambda[118]	lambda[119]	lambda[120]	lambda[121]	lambda[122]	lambda[123]	lambda[124]	lambda[125]	lambda[126]	lambda[127]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	mu[99]	mu[100]	mu[101]	mu[102]	mu[103]	mu[104]	mu[105]	mu[106]	mu[107]	mu[108]	mu[109]	mu[110]	mu[111]	mu[112]	mu[113]	mu[114]	mu[115]	mu[116]	mu[117]	mu[118]	mu[119]	mu[120]	mu[121]	mu[122]	mu[123]	mu[124]	mu[125]	mu[126]	mu[127]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]
100	-388.8036	-368.5134	-20.29022	0.514938	0.505819	0.494212	0.501552	0.52227	0.504118	0.505607	1.09516	1.08991	1.09031	1.19596	1.19833	1.11362	1.09814	1.09302	1.08952	1.18738	1.1075	1.12582	1.07754	1.13633	1.11587	1.17151	1.20291	1.11374	1.11097	1.17801	1.09931	1.6371	1.72096	1.68545	1.68688	1.64263	1.63771	1.63481	1.71421	1.71266	1.68211	1.66075	1.63725	1.64412	1.7082	1.72258	1.65852	1.65813	1.66193	1.64082	1.71152	1.71419	1.67955	1.68878	1.73137	1.74314	1.6688	1.70483	1.71165	1.68049	1.73258	1.68115	1.69926	1.64284	1.67034	1.6889	2.2455	2.18946	2.26001	2.24035	2.23965	2.19952	2.27385	2.23414	2.24203	2.21247	2.19713	2.19948	2.26535	2.27143	2.23525	2.243	2.30652	2.26125	2.26796	2.25602	2.23645	2.23996	2.29607	2.30113	2.26032	2.25546	2.2193	2.22976	2.26934	2.28383	2.22078	2.24781	2.25646	2.22304	2.27415	2.8179	2.82801	2.77355	2.84664	2.81938	2.82473	2.86388	2.81569	2.88339	2.85316	2.85795	2.8155	2.88108	2.83245	2.84388	2.83302	2.8072	2.81462	2.86889	2.87929	2.83409	3.44393	3.4862	3.48569	3.43258	3.50889	3.47052	3.48152	4.18124	2.16592	2.12756	2.07873	2.10961	2.19675	2.1204	2.12667	0.108305	0.108338	0.108383	0.108354	0.108274	0.108345	0.108339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.465577	-0.495152	-0.21451	0.24029	0.00438266	-1.25761	-0.250774	-1.1919	0.108305	0.108338	0.108383	0.108354	0.108274	0.108345	0.108339	0.02218273	0.159041	0.4572032	0.5068606	0.351167	0.256081	-1.28769	0.63242	0.0103568	-1.54694	0.777404	-0.0924654
110	-395.8385	-368.5828	-27.2557	0.58803	0.584015	0.578836	0.58212	0.591257	0.583261	0.58392	1.86649	1.94458	2.07002	3.51373	3.71967	2.47193	1.70628	1.75061	1.84698	3.23484	2.05306	2.44813	1.91925	2.67708	2.07068	3.01746	3.73088	2.41359	2.26616	3.00666	2.06477	2.92973	4.05775	3.66168	3.81663	2.65259	2.73033	2.80474	3.70803	3.81711	3.50947	3.11619	2.95433	3.16552	3.86976	4.24491	3.43055	2.86863	3.03307	2.90657	3.81595	3.87978	3.52294	3.78315	4.22445	4.56741	3.56845	3.5014	3.73491	3.43052	4.13158	3.40048	3.79711	3.15087	3.44318	3.41037	4.77824	3.74949	4.60722	4.47375	4.58753	4.1123	5.06072	4.64642	4.89108	3.91848	3.86935	4.0123	4.69796	4.91369	4.56116	4.68701	5.5171	5.0216	5.25082	4.48807	4.3683	4.53562	5.11104	5.31533	4.89942	4.71604	4.38136	4.64676	4.9983	5.35642	4.59459	4.38514	4.62125	4.33213	4.96884	5.74355	6.14724	5.13722	6.01153	5.79586	5.99265	6.63293	5.66186	6.48841	6.23778	6.42952	5.91155	6.74511	6.22169	6.51371	5.75753	5.57664	5.79136	6.3282	6.60353	6.14209	7.55692	8.09891	8.38449	7.35006	8.28502	7.9338	8.21005	10.6083	0.096834	0.0961728	0.0953199	0.0958608	0.0973654	0.0960487	0.0961572	0.0100738	0.0100835	0.0100961	0.0100881	0.0100663	0.0100853	0.0100837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643116	-0.781611	-0.162492	1.11916	0.0135211	0.622593	-0.0961908	1.31744	0.0100738	0.0100835	0.0100961	0.0100881	0.0100663	0.0100853	0.0100837	0.229263	0.1274235	0.4589508	0.5844794	-2.04949	-0.50722	-0.771276	0.804349	-0.81846	-2.95304	-1.49514	-0.737381
120	-389.8197	-367.1358	-22.68391	0.581073	0.590095	0.60203	0.594423	0.574015	0.591813	0.590309	1.77733	1.77271	1.75991	1.6256	1.6253	1.71531	1.80366	1.79892	1.78611	1.63293	1.74463	1.70378	1.78731	1.68734	1.73538	1.64858	1.62075	1.7172	1.72634	1.6425	1.75143	2.6545	2.50179	2.54978	2.54412	2.68939	2.68015	2.67103	2.51446	2.51307	2.55965	2.61047	2.65215	2.62372	2.52331	2.50542	2.5917	2.63934	2.61487	2.65386	2.52371	2.51255	2.56477	2.54263	2.49693	2.48099	2.57923	2.5344	2.51639	2.56676	2.49837	2.56816	2.53161	2.62634	2.58089	2.56066	3.45552	3.61506	3.44102	3.47366	3.4681	3.56081	3.41913	3.4803	3.46233	3.56532	3.59098	3.5685	3.43938	3.42468	3.48491	3.46488	3.36912	3.4381	3.42193	3.45436	3.48996	3.47178	3.38742	3.37463	3.44301	3.44834	3.51468	3.48305	3.4307	3.40539	3.5036	3.47669	3.44844	3.51347	3.42944	4.52872	4.50787	4.65866	4.48481	4.5348	4.51702	4.44486	4.54196	4.41251	4.46971	4.45374	4.53531	4.4248	4.50618	4.47925	4.51548	4.56925	4.53962	4.45209	4.42837	4.50913	5.81785	5.7277	5.73651	5.85034	5.69833	5.77379	5.74469	7.41443	4.02016	4.08258	4.16515	4.11252	3.97133	4.09446	4.08406	0.049027	0.0442752	0.0387814	0.0421857	0.0531565	0.0434321	0.0441691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.15739	0.372786	-1.06307	1.27491	-1.43094	0.449678	0.216276	0.018727	0.049027	0.0442752	0.0387814	0.0421857	0.0531565	0.0434321	0.0441691	0.1148912	0.08573185	0.2660492	0.5890478	-1.53757	1.17309	-0.0761429	1.24758	-0.185549	-1.45189	0.36067	1.02915
130	-392.4772	-369.1573	-23.3199	0.633242	0.562812	0.482858	0.532208	0.695318	0.550436	0.561254	2.38177	2.30285	2.23388	2.36252	2.29287	2.20671	2.51258	2.44293	2.36453	2.42424	2.37163	2.30465	2.21984	2.2756	2.43466	2.38932	2.32196	2.23531	2.28344	2.45218	2.29979	3.45925	3.51855	3.43602	3.36672	3.66864	3.58997	3.52067	3.64963	3.57998	3.49772	3.52902	3.44716	3.37918	3.50486	3.43655	3.35107	3.65943	3.59111	3.50951	3.56724	3.5465	3.46372	3.39556	3.51763	3.44912	3.36273	3.67701	3.6085	3.526	3.57992	3.53036	3.46318	3.37747	3.42941	3.5933	4.69277	4.84501	4.90483	4.82364	4.75426	4.70385	4.76233	4.6789	4.61045	4.91499	4.83425	4.7658	4.89298	4.82429	4.74105	4.7209	4.77675	4.69269	4.6241	4.93274	4.85138	4.78279	4.90748	4.83865	4.75478	4.78893	4.70534	4.63767	4.76007	4.69217	4.60606	4.91919	4.85128	4.76787	4.82262	6.37696	6.23413	6.38693	6.44695	6.36454	6.296	6.24933	6.40492	6.46274	6.3798	6.31114	6.261	6.31767	6.23285	6.16497	6.47362	6.39107	6.32319	6.44795	6.37988	6.29521	8.43742	8.45428	8.30928	8.46407	8.52331	8.43914	8.37137	11.3805	0.70108	0.623105	0.534586	0.589222	0.769805	0.609403	0.621379	0.064479	0.070263	0.0785612	0.0731843	0.0602337	0.0714106	0.0704051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00504066	1.2958	-0.944943	0.330726	1.20576	0.866468	-1.65496	0.018727	0.064479	0.070263	0.0785612	0.0731843	0.0602337	0.0714106	0.0704051	0.2568621	0.1170116	0.6624436	0.5705177	-0.669793	-1.10872	-0.564906	0.457337	-2.01369	-0.265891	-0.229258	-0.101975
140	-383.866	-365.3333	-18.53269	0.567268	0.565565	0.563359	0.564759	0.568628	0.565245	0.565525	1.54003	1.47453	1.40197	1.1981	1.18849	1.28559	1.75092	1.67385	1.55523	1.2134	1.4174	1.29406	1.48639	1.25733	1.41198	1.22723	1.18888	1.2978	1.33493	1.22974	1.40847	2.19819	1.83626	1.90533	1.88397	2.46591	2.3601	2.28197	1.86731	1.85481	1.93185	2.08594	2.18559	2.0632	1.88236	1.84988	1.96695	2.228	2.11106	2.21523	1.89723	1.86146	1.94406	1.88955	1.85098	1.81517	1.95666	1.91349	1.86913	1.95722	1.86512	1.98001	1.88949	2.0702	1.97902	1.98038	2.55236	3.11911	2.53848	2.60335	2.57975	2.85505	2.51877	2.61394	2.56967	2.94731	3.01489	2.89337	2.57011	2.53657	2.63906	2.58489	2.45322	2.54776	2.50291	2.58188	2.66103	2.60009	2.49815	2.46563	2.56811	2.57756	2.71366	2.61381	2.55304	2.49549	2.66257	2.66691	2.5841	2.72437	2.56756	3.31411	3.28765	3.79355	3.26645	3.36307	3.31496	3.18324	3.36879	3.15409	3.24821	3.20224	3.35943	3.1729	3.30624	3.23454	3.34549	3.47698	3.37371	3.24272	3.18703	3.32836	4.13771	3.96717	3.98877	4.23943	3.94733	4.08789	4.01106	4.90614	1.13477	1.13136	1.12695	1.12975	1.13749	1.13072	1.13128	0.0645421	0.063503	0.0621777	0.0630161	0.0653772	0.0633089	0.0634788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.961542	0.858735	-0.639681	0.703915	-0.227802	-0.558717	-0.0422115	0.279982	0.0645421	0.063503	0.0621777	0.0630161	0.0653772	0.0633089	0.0634788	0.03399881	0.2350696	0.1593955	0.5657619	0.926277	-0.255162	-0.93034	0.428454	-0.783915	-0.159865	-0.0612233	0.209672
150	-388.5756	-365.5135	-23.06203	0.58844	0.562867	0.531285	0.551131	0.609576	0.55817	0.562279	1.72625	1.56682	1.41114	1.17787	1.14569	1.22205	2.26003	2.04678	1.74966	1.21162	1.48428	1.26847	1.5636	1.21108	1.49342	1.21591	1.15652	1.24858	1.31972	1.23823	1.44566	2.32365	1.78571	1.84253	1.79684	2.96005	2.68821	2.50355	1.85655	1.82178	1.88985	2.14204	2.29748	2.05521	1.83812	1.78259	1.89101	2.42724	2.19528	2.37027	1.87437	1.82306	1.89985	1.81517	1.80781	1.74672	1.88993	1.91704	1.84799	1.93296	1.84282	1.9834	1.83893	2.06632	1.94326	2.0026	2.4549	3.4863	2.49056	2.55035	2.50213	2.93194	2.44285	2.53403	2.4615	3.14773	3.26749	3.01005	2.53821	2.48115	2.58413	2.50699	2.38209	2.46005	2.38426	2.55221	2.63671	2.53961	2.47009	2.4129	2.50299	2.52393	2.69339	2.52867	2.48871	2.39954	2.58714	2.6796	2.54841	2.72461	2.52677	3.21341	3.16278	4.03859	3.19001	3.29063	3.21355	3.05083	3.29865	3.08334	3.16498	3.08884	3.26928	3.06442	3.19762	3.08493	3.30051	3.47134	3.30182	3.18453	3.09849	3.24601	4.00162	3.81776	3.80896	4.15464	3.82432	3.96979	3.85258	4.68515	2.3713	2.26824	2.14097	2.22095	2.45647	2.24932	2.26587	0.0338599	0.0343106	0.0349054	0.0345265	0.0335057	0.0343963	0.0343213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.43225	0.319984	-0.23356	2.1808	0.185633	-0.941972	-0.623687	1.59175	0.0338599	0.0343106	0.0349054	0.0345265	0.0335057	0.0343963	0.0343213	0.02675899	0.2984716	0.0377769	0.5657619	0.397657	-0.348744	-1.03567	0.758183	-0.983445	0.799295	0.385582	0.608263
160	-389.4078	-365.4523	-23.95547	0.698832	0.69844	0.697928	0.698254	0.699176	0.698367	0.69843	1.43691	1.44019	1.44554	1.50283	1.51002	1.46237	1.42976	1.43169	1.43596	1.49284	1.44526	1.46176	1.4388	1.47086	1.44627	1.48447	1.51053	1.46008	1.45414	1.48433	1.44555	2.16093	2.20842	2.19273	2.19891	2.14884	2.15225	2.15553	2.19466	2.19897	2.18652	2.1696	2.16198	2.1712	2.20128	2.21583	2.18244	2.15891	2.16622	2.16008	2.19922	2.20169	2.18683	2.19771	2.21517	2.22815	2.18804	2.18643	2.19592	2.18323	2.2117	2.18209	2.19852	2.17055	2.18323	2.18273	2.92055	2.87528	2.91358	2.90803	2.91277	2.8913	2.93248	2.91466	2.92477	2.88344	2.88077	2.88718	2.91777	2.92674	2.91124	2.91673	2.95178	2.93054	2.93994	2.90878	2.90343	2.91066	2.93569	2.94407	2.92577	2.91859	2.90332	2.91478	2.92985	2.94423	2.91193	2.90467	2.91499	2.90148	2.92873	3.64503	3.66164	3.61728	3.65695	3.64703	3.65544	3.6827	3.64146	3.67826	3.66664	3.67473	3.65166	3.68766	3.6646	3.67683	3.64628	3.63742	3.64694	3.67069	3.68228	3.66147	4.40999	4.43451	4.44502	4.40089	4.44279	4.42635	4.4382	5.23712	0.0607734	0.0607393	0.0606948	0.0607231	0.0608033	0.0607329	0.0607385	0.08177	0.0801383	0.0780661	0.0793759	0.0830911	0.0798343	0.0801002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518815	0.486517	-0.554926	1.19227	-0.282942	1.38716	-0.00790121	1.59644	0.08177	0.0801383	0.0780661	0.0793759	0.0830911	0.0798343	0.0801002	0.01220184	0.09852662	0.09481934	0.6984894	0.782094	-0.348744	-0.727708	1.22778	0.495132	-0.533088	-0.109755	-2.56844
170	-389.7079	-365.1697	-24.53823	0.648809	0.604317	0.551021	0.584297	0.686468	0.596275	0.603307	1.3323	1.26653	1.20811	1.2456	1.19959	1.16549	1.45564	1.39619	1.31985	1.28594	1.30018	1.23189	1.21673	1.20489	1.33651	1.27007	1.21853	1.18673	1.22698	1.30796	1.25326	1.90145	1.8637	1.82426	1.77597	2.08874	2.01493	1.95535	1.95122	1.90466	1.86678	1.92427	1.891	1.8228	1.86468	1.81426	1.78409	2.03371	1.96656	1.93423	1.90497	1.88744	1.85064	1.79592	1.8656	1.81451	1.78911	1.97903	1.9263	1.89058	1.90573	1.90257	1.84079	1.82317	1.83834	1.94004	2.44405	2.6567	2.57566	2.53546	2.48673	2.51517	2.48244	2.44808	2.39535	2.66765	2.62816	2.56006	2.57392	2.52328	2.49037	2.46924	2.47678	2.44223	2.38937	2.60296	2.56557	2.50956	2.56701	2.51656	2.48357	2.51272	2.48643	2.42279	2.48813	2.43282	2.41245	2.61165	2.55137	2.52591	2.52836	3.16746	3.07295	3.27351	3.20315	3.16912	3.11564	3.0597	3.197	3.18843	3.15384	3.10076	3.10579	3.10259	3.07563	3.01753	3.23739	3.21027	3.14594	3.19767	3.14272	3.11734	3.81333	3.78725	3.70199	3.85205	3.82833	3.8028	3.74371	4.4551	0.116837	0.108825	0.0992276	0.10522	0.123619	0.107377	0.108643	0.0582551	0.0548701	0.0507634	0.0533344	0.061089	0.0542542	0.0547929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.976234	1.15723	-0.385708	0.9311	-0.840244	0.749375	-0.997169	2.66544	0.0582551	0.0548701	0.0507634	0.0533344	0.061089	0.0542542	0.0547929	0.006498046	0.1397724	0.1912949	0.609294	0.704029	0.0226784	-0.718387	0.702255	-0.989354	-0.130817	-1.57287	-0.356374
180	-386.6575	-366.1423	-20.51526	0.651876	0.63833	0.621145	0.632005	0.662839	0.635807	0.638014	1.68848	1.64216	1.59228	1.45978	1.43643	1.51302	1.79392	1.753	1.68907	1.48649	1.6269	1.53821	1.63274	1.504	1.6341	1.49642	1.44198	1.52736	1.56238	1.50841	1.60911	2.45923	2.24685	2.28155	2.24952	2.61478	2.557	2.51024	2.304	2.27816	2.3147	2.41645	2.45009	2.37408	2.27556	2.23028	2.31133	2.5151	2.44389	2.47542	2.29701	2.27311	2.31548	2.25899	2.24774	2.20292	2.30061	2.34539	2.29472	2.3376	2.26964	2.35048	2.27247	2.37766	2.33119	2.36069	3.08073	3.4105	3.12912	3.14947	3.11642	3.25881	3.06234	3.11592	3.06627	3.35158	3.36165	3.29222	3.13264	3.08869	3.14381	3.10764	3.00205	3.06346	3.01552	3.16339	3.18979	3.13477	3.06809	3.02632	3.09005	3.11382	3.18209	3.10594	3.08178	3.02238	3.12775	3.20182	3.13225	3.20075	3.10146	4.03936	3.96978	4.2797	4.00873	4.05324	4.00214	3.88648	4.07569	3.9121	3.96449	3.91593	4.02325	3.88921	3.97228	3.9074	4.06777	4.1233	4.04786	3.97072	3.91265	3.99754	5.05644	4.92747	4.90124	5.12241	4.91886	4.99986	4.93111	6.15334	2.02105	1.97905	1.92577	1.95944	2.05504	1.97123	1.97807	0.0431369	0.0391601	0.0345346	0.0374045	0.0465786	0.0384523	0.0390711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.432098	-0.204564	-0.192541	0.127851	-1.35762	1.69491	-0.294759	0.776229	0.0431369	0.0391601	0.0345346	0.0374045	0.0465786	0.0384523	0.0390711	0.05872378	0.1113073	0.1438546	0.6398793	-1.11186	-0.205798	-1.29461	0.151777	-0.235204	-0.820947	0.50312	0.263962
190	-387.5861	-366.2912	-21.29489	0.577781	0.556561	0.530145	0.546773	0.595196	0.552648	0.556072	1.4673	1.39533	1.32182	1.19291	1.16451	1.22252	1.64968	1.57717	1.46964	1.22272	1.37439	1.25944	1.38029	1.22042	1.38672	1.22714	1.17347	1.24099	1.28576	1.24553	1.3473	2.08581	1.82178	1.85305	1.815	2.33711	2.23888	2.16328	1.8856	1.85467	1.89178	2.02424	2.07272	1.96209	1.85513	1.80708	1.87938	2.16678	2.06056	2.11098	1.8837	1.85153	1.8932	1.8281	1.83161	1.78138	1.87291	1.93263	1.87518	1.92074	1.85974	1.94163	1.84912	1.96691	1.91205	1.95828	2.49015	2.95906	2.5442	2.56979	2.52995	2.72701	2.48245	2.53465	2.47778	2.85857	2.88087	2.77288	2.56257	2.51388	2.57124	2.52468	2.4291	2.483	2.42622	2.58778	2.6237	2.55464	2.50397	2.45646	2.51615	2.53932	2.62044	2.52236	2.50861	2.44107	2.55078	2.64779	2.56169	2.64564	2.53648	3.26539	3.1979	3.62599	3.24539	3.29667	3.23684	3.11407	3.31634	3.1526	3.20469	3.14691	3.26347	3.1261	3.20983	3.13199	3.31724	3.39255	3.29233	3.22064	3.15448	3.24377	4.05281	3.91492	3.88922	4.14042	3.9182	4.00651	3.92433	4.81372	0.271516	0.261544	0.249131	0.256945	0.2797	0.259705	0.261314	0.0343035	0.033542	0.0325776	0.0331868	0.0349201	0.0334003	0.0335243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.837142	0.546483	0.00374859	0.94239	-0.315113	0.270719	-0.525205	0.653158	0.0343035	0.033542	0.0325776	0.0331868	0.0349201	0.0334003	0.0335243	0.03207116	0.1455247	0.2039104	0.5589695	-1.11186	-0.892791	-1.25238	0.878133	0.0787261	-1.83614	-0.543496	-0.703072
