Iteration	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	simmap
0	{2,0.5597:}	{34,0.196905:15,0.362795:}	{32,0.379146:13,0.215836:4,0.0674183:}	{5,0.8086:}	{34,0.4631:}	{4,0.4631:}	{2,0.85355:}	{2,0.8053:}	{2,0.8053:}	{15,0.0661482:2,1.29045:}	{9,0.733625:1,0.622976:}	{4,0.943:}	{4,0.943:}	{4,1.1098:}	{4,1.2486:}	{4,1.2798:}	{4,1.3077:}	{4,1.3077:}	{2,0.6483:}	{2,0.6483:}	{4,1.1374:}	{4,1.1374:}	{4,1.39205:}	{4,0.9646:}	{4,0.9646:}	{4,1.0188:}	{4,1.0188:}	{4,1.3295:}	{4,1.4306:}	{4,0.538:}	{4,0.538:}	{4,1.2818:}	{4,1.2783:}	{4,1.2783:}	{4,1.68206:}	{32,0.304172:14,0.271765:4,0.427364:}	{4,1.0033:}	{4,1.6137:}	{4,0.846101:}	{1,0.846101:}	{3,1.09665:}	{3,1.09665:}	{31,0.257241:11,0.452828:3,0.350431:}	{3,1.0605:}	{3,0.6984:}	{3,0.6984:}	{3,1.0656:}	{3,1.1374:}	{3,1.0101:}	{3,1.0101:}	{11,0.651658:3,0.776742:}	{3,1.4284:}	{31,0.246077:12,0.664237:3,0.854001:}	{31,0.588292:12,0.675336:3,0.351872:}	{3,1.6155:}	{11,1.61548:3,0.150972:}	{3,1.76645:}	{1,1.9246:}	{2,1.9246:}	{6,0.6617:}	{6,0.6617:}	{6,0.7061:}	{6,0.7491:}	{6,0.87445:}	{6,0.955443:}	{6,1.31934:}	{6,0.0444:}	{6,0.043:}	{6,0.12535:}	{6,0.080993:}	{6,0.363895:}	{6,1.42754:}	{9,0.151977:31,0.023528:}	{3,0.200928:}	{3,0.260213:}	{3,0.204118:}	{3,0.477722:}	{3,0.3672:}	{3,0.0718:}	{3,0.22064:}	{3,0.157183:}	{3,0.121033:}	{3,0.140357:}	{3,0.129782:}	{3,0.144696:}	{3,0.131797:}	{3,0.111398:}	{3,0.091665:}	{3,0.132727:}	{31,0.138187:}	{14,0.243512:4,0.881271:}	{4,0.6104:}	{4,0.230417:}	{4,0.282217:}	{4,0.7438:}	{4,0.23625:}	{4,0.1471:}	{4,0.2013:}	{4,0.1636:}	{4,0.1011:}	{4,0.08745:}	{4,0.042467:}	{4,0.121547:}	{4,0.162053:}	{4,0.126767:}	{4,0.06469:}	{4,0.25465:}	{4,0.246033:}	{2,0.9308:}	{4,0.1597:}	{4,0.1668:}	{4,0.1388:}	{4,0.0312:}	{4,0.1876:}	{4,0.1117:}	{15,0.058983:}	{15,0.124805:2,0.14039:}	{9,0.323002:2,0.0798347:}	{2,0.809245:}	{34,0.133691:15,0.11751:2,0.139249:}	{2,0.517133:}	{15,0.1027:}	{15,0.1462:}	{46,0.0632847:2,0.498798:}	{2,0.243862:}	{2,0.144893:}	{2,0.14384:}	{2,0.132296:}	{15,0.142276:2,0.0604421:}	{31,0.370556:12,0.138029:}	{53,0:}	((Colias_dimera:{6,1.31934:},(Colias_vauthierii:{6,0.955443:},(Colias_lesbia:{6,0.87445:},(Colias_mossi:{6,0.7491:},(Colias_flaveola:{6,0.7061:},(Colias_euxanthe:{6,0.6617:},Colias_weberbaueri:{6,0.6617:}):{6,0.0444:}):{6,0.043:}):{6,0.12535:}):{6,0.080993:}):{6,0.363895:}):{6,1.42754:},(((Colias_phicomone:{2,1.9246:},Colias_tamerlana:{1,1.9246:}):{9,0.151977:31,0.023528:},((Colias_rankinensis:{3,1.76645:},Colias_nastes:{11,1.61548:3,0.150972:}):{3,0.200928:},((Colias_canadensis:{3,1.6155:},Colias_hecla:{31,0.588292:12,0.675336:3,0.351872:}):{3,0.260213:},(Colias_tyche:{31,0.246077:12,0.664237:3,0.854001:},((Colias_meadii:{3,1.4284:},Colias_hyperborea:{11,0.651658:3,0.776742:}):{3,0.204118:},((Colias_pelidne:{3,1.0101:},Colias_scudderii:{3,1.0101:}):{3,0.477722:},((Colias_alexandra:{3,1.1374:},(Colias_christina:{3,1.0656:},(Colias_eurytheme:{3,0.6984:},Colias_philodice:{3,0.6984:}):{3,0.3672:}):{3,0.0718:}):{3,0.22064:},((Colias_behrii:{3,1.0605:},Colias_palaeno:{31,0.257241:11,0.452828:3,0.350431:}):{3,0.157183:},(Colias_skinneri:{3,1.09665:},Colias_interior:{3,1.09665:}):{3,0.121033:}):{3,0.140357:}):{3,0.129782:}):{3,0.144696:}):{3,0.131797:}):{3,0.111398:}):{3,0.091665:}):{3,0.132727:}):{31,0.138187:},(((Colias_heos:{1,0.846101:},Colias_diva:{4,0.846101:}):{14,0.243512:4,0.881271:},((Colias_eogene:{4,1.6137:},(Colias_tibetana:{4,1.0033:},Colias_fieldii:{32,0.304172:14,0.271765:4,0.427364:}):{4,0.6104:}):{4,0.230417:},(Colias_montium:{4,1.68206:},((Colias_thrasibulus:{4,1.2783:},Colias_nebulosa:{4,1.2783:}):{4,0.282217:},((Colias_sifanica:{4,1.2818:},(Colias_ladakensis:{4,0.538:},Colias_nina:{4,0.538:}):{4,0.7438:}):{4,0.23625:},(Colias_lada:{4,1.4306:},(Colias_grumi:{4,1.3295:},((Colias_berylla:{4,1.0188:},Colias_stoliczkana:{4,1.0188:}):{4,0.1471:},(Colias_wanda:{4,0.9646:},Colias_arida:{4,0.9646:}):{4,0.2013:}):{4,0.1636:}):{4,0.1011:}):{4,0.08745:}):{4,0.042467:}):{4,0.121547:}):{4,0.162053:}):{4,0.126767:}):{4,0.06469:},(((Colias_regia:{4,1.39205:},(Colias_staudingeri:{4,1.1374:},Colias_cocandica:{4,1.1374:}):{4,0.25465:}):{4,0.246033:},((Colias_aurorina:{2,0.6483:},Colias_chlorocoma:{2,0.6483:}):{2,0.9308:},((Colias_romanovi:{4,1.3077:},Colias_christophi:{4,1.3077:}):{4,0.1597:},(Colias_marcopolo:{4,1.2798:},(Colias_sieversi:{4,1.2486:},(Colias_wiskotti:{4,1.1098:},(Colias_alpherakii:{4,0.943:},Colias_shafuladi:{4,0.943:}):{4,0.1668:}):{4,0.1388:}):{4,0.0312:}):{4,0.1876:}):{4,0.1117:}):{15,0.058983:}):{15,0.124805:2,0.14039:},((Colias_chrysotheme:{9,0.733625:1,0.622976:},Colias_thisoa:{15,0.0661482:2,1.29045:}):{9,0.323002:2,0.0798347:},((Colias_caucasica:{2,0.8053:},Colias_myrmidone:{2,0.8053:}):{2,0.809245:},((Colias_alfacariensis:{2,0.85355:},(Colias_alta:{4,0.4631:},Colias_hyale:{34,0.4631:}):{34,0.133691:15,0.11751:2,0.139249:}):{2,0.517133:},(Colias_electo:{5,0.8086:},(Colias_poliographus:{32,0.379146:13,0.215836:4,0.0674183:},(Colias_erate:{34,0.196905:15,0.362795:},Colias_croceus:{2,0.5597:}):{15,0.1027:}):{15,0.1462:}):{46,0.0632847:2,0.498798:}):{2,0.243862:}):{2,0.144893:}):{2,0.14384:}):{2,0.132296:}):{15,0.142276:2,0.0604421:}):{31,0.370556:12,0.138029:});
10	{2,0.00429961:15,0.0802899:4,0.475111:}	{34,0.126174:15,0.0890571:4,0.344469:}	{32,0.405432:13,0.0432164:4,0.213752:}	{5,0.690414:21,0.118186:}	{34,0.0629871:9,0.249651:2,0.150462:}	{4,0.4631:}	{2,0.85355:}	{2,0.8053:}	{2,0.8053:}	{15,0.319598:2,1.037:}	{9,0.915774:2,0.440827:}	{4,0.943:}	{4,0.386521:13,0.027157:4,0.529322:}	{4,1.1098:}	{4,1.2486:}	{4,1.2798:}	{4,1.3077:}	{4,1.3077:}	{2,0.6483:}	{2,0.6483:}	{4,1.1374:}	{4,0.940708:14,0.176525:4,0.0201669:}	{4,1.39205:}	{4,0.9646:}	{4,0.9646:}	{4,1.0188:}	{4,1.0188:}	{4,1.3295:}	{4,1.4306:}	{4,0.538:}	{4,0.538:}	{4,1.2818:}	{4,1.2783:}	{4,1.2783:}	{4,1.68206:}	{32,0.18543:13,0.114076:4,0.703795:}	{4,1.0033:}	{4,1.6137:}	{4,0.633774:14,0.212327:}	{1,0.846101:}	{3,1.09665:}	{3,1.09665:}	{31,0.513851:12,0.546649:}	{3,1.0605:}	{3,0.6984:}	{3,0.6984:}	{3,1.0656:}	{3,1.1374:}	{3,1.0101:}	{3,1.0101:}	{11,0.401062:3,1.02734:}	{3,1.4284:}	{31,0.23102:12,0.079473:3,1.45382:}	{31,0.24253:12,0.796649:37,0.109897:12,0.358646:3,0.107777:}	{3,1.6155:}	{11,0.856928:3,0.909522:}	{3,1.76645:}	{1,1.9246:}	{2,1.25662:9,0.146447:1,0.521531:}	{6,0.6617:}	{6,0.6617:}	{6,0.7061:}	{6,0.7491:}	{6,0.87445:}	{6,0.955443:}	{6,1.31934:}	{6,0.0444:}	{6,0.043:}	{6,0.12535:}	{6,0.080993:}	{6,0.363895:}	{6,1.42754:}	{1,0.175505:}	{3,0.200928:}	{3,0.260213:}	{3,0.204118:}	{3,0.477722:}	{3,0.3672:}	{3,0.0718:}	{3,0.22064:}	{12,0.0761615:3,0.0810215:}	{3,0.121033:}	{3,0.140357:}	{3,0.129782:}	{3,0.144696:}	{3,0.131797:}	{3,0.111398:}	{3,0.091665:}	{3,0.132727:}	{11,0.138187:}	{14,0.527075:4,0.597708:}	{4,0.6104:}	{4,0.230417:}	{4,0.282217:}	{4,0.7438:}	{4,0.23625:}	{4,0.1471:}	{4,0.2013:}	{4,0.1636:}	{4,0.1011:}	{4,0.08745:}	{4,0.042467:}	{4,0.121547:}	{4,0.162053:}	{4,0.126767:}	{4,0.06469:}	{4,0.25465:}	{4,0.246033:}	{2,0.9308:}	{4,0.1597:}	{4,0.1668:}	{4,0.1388:}	{4,0.0312:}	{4,0.1876:}	{4,0.1117:}	{15,0.058983:}	{15,0.265195:}	{2,0.402837:}	{2,0.809245:}	{15,0.39045:}	{15,0.517133:}	{4,0.1027:}	{4,0.1462:}	{21,0.0182874:4,0.543796:}	{15,0.0294776:2,0.214384:}	{2,0.144893:}	{2,0.14384:}	{15,0.132296:}	{15,0.202718:}	{67,0.508585:}	{108,0:}	((Colias_dimera:{6,1.31934:},(Colias_vauthierii:{6,0.955443:},(Colias_lesbia:{6,0.87445:},(Colias_mossi:{6,0.7491:},(Colias_flaveola:{6,0.7061:},(Colias_euxanthe:{6,0.6617:},Colias_weberbaueri:{6,0.6617:}):{6,0.0444:}):{6,0.043:}):{6,0.12535:}):{6,0.080993:}):{6,0.363895:}):{6,1.42754:},(((Colias_phicomone:{2,1.25662:9,0.146447:1,0.521531:},Colias_tamerlana:{1,1.9246:}):{1,0.175505:},((Colias_rankinensis:{3,1.76645:},Colias_nastes:{11,0.856928:3,0.909522:}):{3,0.200928:},((Colias_canadensis:{3,1.6155:},Colias_hecla:{31,0.24253:12,0.796649:37,0.109897:12,0.358646:3,0.107777:}):{3,0.260213:},(Colias_tyche:{31,0.23102:12,0.079473:3,1.45382:},((Colias_meadii:{3,1.4284:},Colias_hyperborea:{11,0.401062:3,1.02734:}):{3,0.204118:},((Colias_pelidne:{3,1.0101:},Colias_scudderii:{3,1.0101:}):{3,0.477722:},((Colias_alexandra:{3,1.1374:},(Colias_christina:{3,1.0656:},(Colias_eurytheme:{3,0.6984:},Colias_philodice:{3,0.6984:}):{3,0.3672:}):{3,0.0718:}):{3,0.22064:},((Colias_behrii:{3,1.0605:},Colias_palaeno:{31,0.513851:12,0.546649:}):{12,0.0761615:3,0.0810215:},(Colias_skinneri:{3,1.09665:},Colias_interior:{3,1.09665:}):{3,0.121033:}):{3,0.140357:}):{3,0.129782:}):{3,0.144696:}):{3,0.131797:}):{3,0.111398:}):{3,0.091665:}):{3,0.132727:}):{11,0.138187:},(((Colias_heos:{1,0.846101:},Colias_diva:{4,0.633774:14,0.212327:}):{14,0.527075:4,0.597708:},((Colias_eogene:{4,1.6137:},(Colias_tibetana:{4,1.0033:},Colias_fieldii:{32,0.18543:13,0.114076:4,0.703795:}):{4,0.6104:}):{4,0.230417:},(Colias_montium:{4,1.68206:},((Colias_thrasibulus:{4,1.2783:},Colias_nebulosa:{4,1.2783:}):{4,0.282217:},((Colias_sifanica:{4,1.2818:},(Colias_ladakensis:{4,0.538:},Colias_nina:{4,0.538:}):{4,0.7438:}):{4,0.23625:},(Colias_lada:{4,1.4306:},(Colias_grumi:{4,1.3295:},((Colias_berylla:{4,1.0188:},Colias_stoliczkana:{4,1.0188:}):{4,0.1471:},(Colias_wanda:{4,0.9646:},Colias_arida:{4,0.9646:}):{4,0.2013:}):{4,0.1636:}):{4,0.1011:}):{4,0.08745:}):{4,0.042467:}):{4,0.121547:}):{4,0.162053:}):{4,0.126767:}):{4,0.06469:},(((Colias_regia:{4,1.39205:},(Colias_staudingeri:{4,0.940708:14,0.176525:4,0.0201669:},Colias_cocandica:{4,1.1374:}):{4,0.25465:}):{4,0.246033:},((Colias_aurorina:{2,0.6483:},Colias_chlorocoma:{2,0.6483:}):{2,0.9308:},((Colias_romanovi:{4,1.3077:},Colias_christophi:{4,1.3077:}):{4,0.1597:},(Colias_marcopolo:{4,1.2798:},(Colias_sieversi:{4,1.2486:},(Colias_wiskotti:{4,1.1098:},(Colias_alpherakii:{4,0.386521:13,0.027157:4,0.529322:},Colias_shafuladi:{4,0.943:}):{4,0.1668:}):{4,0.1388:}):{4,0.0312:}):{4,0.1876:}):{4,0.1117:}):{15,0.058983:}):{15,0.265195:},((Colias_chrysotheme:{9,0.915774:2,0.440827:},Colias_thisoa:{15,0.319598:2,1.037:}):{2,0.402837:},((Colias_caucasica:{2,0.8053:},Colias_myrmidone:{2,0.8053:}):{2,0.809245:},((Colias_alfacariensis:{2,0.85355:},(Colias_alta:{4,0.4631:},Colias_hyale:{34,0.0629871:9,0.249651:2,0.150462:}):{15,0.39045:}):{15,0.517133:},(Colias_electo:{5,0.690414:21,0.118186:},(Colias_poliographus:{32,0.405432:13,0.0432164:4,0.213752:},(Colias_erate:{34,0.126174:15,0.0890571:4,0.344469:},Colias_croceus:{2,0.00429961:15,0.0802899:4,0.475111:}):{4,0.1027:}):{4,0.1462:}):{21,0.0182874:4,0.543796:}):{15,0.0294776:2,0.214384:}):{2,0.144893:}):{2,0.14384:}):{15,0.132296:}):{15,0.202718:}):{67,0.508585:});
20	{2,0.5597:}	{34,0.5597:}	{32,0.236262:14,0.168523:1,0.257615:}	{5,0.8086:}	{34,0.4631:}	{4,0.4631:}	{2,0.85355:}	{2,0.8053:}	{2,0.8053:}	{15,0.295075:2,1.06153:}	{9,0.0866352:2,1.26997:}	{4,0.943:}	{4,0.943:}	{4,1.1098:}	{4,1.2486:}	{4,0.492111:13,0.742633:4,0.0450562:}	{4,1.3077:}	{4,1.3077:}	{2,0.6483:}	{2,0.6483:}	{4,1.1374:}	{4,1.1374:}	{4,1.39205:}	{4,0.9646:}	{4,0.9646:}	{4,1.0188:}	{4,1.0188:}	{4,1.3295:}	{4,1.4306:}	{4,0.538:}	{4,0.538:}	{4,1.2818:}	{4,1.2783:}	{4,1.2783:}	{4,1.68206:}	{32,0.0429949:13,0.960305:}	{4,1.0033:}	{4,1.6137:}	{4,0.846101:}	{1,0.846101:}	{3,1.09665:}	{3,1.09665:}	{31,0.175387:12,0.581587:3,0.303526:}	{3,1.0605:}	{3,0.6984:}	{3,0.6984:}	{3,1.0656:}	{3,1.1374:}	{3,1.0101:}	{3,1.0101:}	{11,0.155785:3,1.27261:}	{3,1.4284:}	{31,0.429875:12,0.498832:3,0.835609:}	{31,0.715936:11,0.899564:}	{3,1.6155:}	{11,0.247725:3,1.51873:}	{3,1.76645:}	{1,1.9246:}	{2,0.0432437:9,0.556173:1,1.32518:}	{6,0.6617:}	{6,0.6617:}	{6,0.0874135:25,0.467536:6,0.151151:}	{6,0.7491:}	{6,0.87445:}	{6,0.955443:}	{6,1.31934:}	{6,0.0444:}	{6,0.043:}	{6,0.12535:}	{6,0.080993:}	{6,0.363895:}	{6,1.42754:}	{1,0.175505:}	{3,0.200928:}	{11,0.260213:}	{3,0.204118:}	{3,0.477722:}	{3,0.3672:}	{3,0.0718:}	{3,0.22064:}	{3,0.157183:}	{3,0.121033:}	{3,0.140357:}	{3,0.129782:}	{3,0.144696:}	{3,0.131797:}	{3,0.111398:}	{11,0.091665:}	{11,0.0267736:1,0.105953:}	{1,0.138187:}	{14,0.717162:4,0.407621:}	{13,0.294237:4,0.316163:}	{4,0.230417:}	{4,0.282217:}	{4,0.7438:}	{4,0.23625:}	{4,0.1471:}	{4,0.2013:}	{4,0.1636:}	{4,0.1011:}	{4,0.08745:}	{4,0.042467:}	{4,0.121547:}	{4,0.162053:}	{4,0.126767:}	{4,0.06469:}	{4,0.25465:}	{4,0.246033:}	{2,0.9308:}	{4,0.1597:}	{4,0.1668:}	{4,0.1388:}	{4,0.0312:}	{4,0.1876:}	{4,0.1117:}	{15,0.0136978:4,0.0452852:}	{4,0.265195:}	{2,0.402837:}	{2,0.809245:}	{34,0.39045:}	{34,0.291713:14,0.0225134:4,0.202906:}	{34,0.1027:}	{34,0.1462:}	{74,0.562083:}	{74,0.0236103:100,0.00402313:122,0.216229:}	{122,0.144893:}	{122,0.14384:}	{122,0.132296:}	{122,0.202718:}	{122,0.0034145:115,0.422651:95,0.0825194:}	{95,0:}	((Colias_dimera:{6,1.31934:},(Colias_vauthierii:{6,0.955443:},(Colias_lesbia:{6,0.87445:},(Colias_mossi:{6,0.7491:},(Colias_flaveola:{6,0.0874135:25,0.467536:6,0.151151:},(Colias_euxanthe:{6,0.6617:},Colias_weberbaueri:{6,0.6617:}):{6,0.0444:}):{6,0.043:}):{6,0.12535:}):{6,0.080993:}):{6,0.363895:}):{6,1.42754:},(((Colias_phicomone:{2,0.0432437:9,0.556173:1,1.32518:},Colias_tamerlana:{1,1.9246:}):{1,0.175505:},((Colias_rankinensis:{3,1.76645:},Colias_nastes:{11,0.247725:3,1.51873:}):{3,0.200928:},((Colias_canadensis:{3,1.6155:},Colias_hecla:{31,0.715936:11,0.899564:}):{11,0.260213:},(Colias_tyche:{31,0.429875:12,0.498832:3,0.835609:},((Colias_meadii:{3,1.4284:},Colias_hyperborea:{11,0.155785:3,1.27261:}):{3,0.204118:},((Colias_pelidne:{3,1.0101:},Colias_scudderii:{3,1.0101:}):{3,0.477722:},((Colias_alexandra:{3,1.1374:},(Colias_christina:{3,1.0656:},(Colias_eurytheme:{3,0.6984:},Colias_philodice:{3,0.6984:}):{3,0.3672:}):{3,0.0718:}):{3,0.22064:},((Colias_behrii:{3,1.0605:},Colias_palaeno:{31,0.175387:12,0.581587:3,0.303526:}):{3,0.157183:},(Colias_skinneri:{3,1.09665:},Colias_interior:{3,1.09665:}):{3,0.121033:}):{3,0.140357:}):{3,0.129782:}):{3,0.144696:}):{3,0.131797:}):{3,0.111398:}):{11,0.091665:}):{11,0.0267736:1,0.105953:}):{1,0.138187:},(((Colias_heos:{1,0.846101:},Colias_diva:{4,0.846101:}):{14,0.717162:4,0.407621:},((Colias_eogene:{4,1.6137:},(Colias_tibetana:{4,1.0033:},Colias_fieldii:{32,0.0429949:13,0.960305:}):{13,0.294237:4,0.316163:}):{4,0.230417:},(Colias_montium:{4,1.68206:},((Colias_thrasibulus:{4,1.2783:},Colias_nebulosa:{4,1.2783:}):{4,0.282217:},((Colias_sifanica:{4,1.2818:},(Colias_ladakensis:{4,0.538:},Colias_nina:{4,0.538:}):{4,0.7438:}):{4,0.23625:},(Colias_lada:{4,1.4306:},(Colias_grumi:{4,1.3295:},((Colias_berylla:{4,1.0188:},Colias_stoliczkana:{4,1.0188:}):{4,0.1471:},(Colias_wanda:{4,0.9646:},Colias_arida:{4,0.9646:}):{4,0.2013:}):{4,0.1636:}):{4,0.1011:}):{4,0.08745:}):{4,0.042467:}):{4,0.121547:}):{4,0.162053:}):{4,0.126767:}):{4,0.06469:},(((Colias_regia:{4,1.39205:},(Colias_staudingeri:{4,1.1374:},Colias_cocandica:{4,1.1374:}):{4,0.25465:}):{4,0.246033:},((Colias_aurorina:{2,0.6483:},Colias_chlorocoma:{2,0.6483:}):{2,0.9308:},((Colias_romanovi:{4,1.3077:},Colias_christophi:{4,1.3077:}):{4,0.1597:},(Colias_marcopolo:{4,0.492111:13,0.742633:4,0.0450562:},(Colias_sieversi:{4,1.2486:},(Colias_wiskotti:{4,1.1098:},(Colias_alpherakii:{4,0.943:},Colias_shafuladi:{4,0.943:}):{4,0.1668:}):{4,0.1388:}):{4,0.0312:}):{4,0.1876:}):{4,0.1117:}):{15,0.0136978:4,0.0452852:}):{4,0.265195:},((Colias_chrysotheme:{9,0.0866352:2,1.26997:},Colias_thisoa:{15,0.295075:2,1.06153:}):{2,0.402837:},((Colias_caucasica:{2,0.8053:},Colias_myrmidone:{2,0.8053:}):{2,0.809245:},((Colias_alfacariensis:{2,0.85355:},(Colias_alta:{4,0.4631:},Colias_hyale:{34,0.4631:}):{34,0.39045:}):{34,0.291713:14,0.0225134:4,0.202906:},(Colias_electo:{5,0.8086:},(Colias_poliographus:{32,0.236262:14,0.168523:1,0.257615:},(Colias_erate:{34,0.5597:},Colias_croceus:{2,0.5597:}):{34,0.1027:}):{34,0.1462:}):{74,0.562083:}):{74,0.0236103:100,0.00402313:122,0.216229:}):{122,0.144893:}):{122,0.14384:}):{122,0.132296:}):{122,0.202718:}):{122,0.0034145:115,0.422651:95,0.0825194:});
