Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-2934.139	-2933.307	-0.8316684	0.8316684	0.08463024	0.9153698	1e-06	0.0846302	1e-06	1e-06	0.91537	1e-06	0.0846302	0.91537
50	-2539.58	-2538.512	-1.068128	1.068128	0.04606243	0.9539376	1e-06	0.0460624	1e-06	1e-06	0.953938	1e-06	0.0460624	0.953938
100	-2431.544	-2430.459	-1.085017	1.085017	0.05039622	0.9496038	1e-06	0.0503962	1e-06	1e-06	0.949604	1e-06	0.0503962	0.949604
150	-2207.279	-2206.302	-0.9769298	0.9769298	0.04349745	0.9565025	1e-06	0.0434975	1e-06	1e-06	0.956503	1e-06	0.0434975	0.956503
200	-2066.275	-2065.298	-0.9776207	0.9776207	0.03522446	0.9647755	1e-06	0.0352245	1e-06	1e-06	0.964776	1e-06	0.0352245	0.964776
250	-2068.382	-2067.485	-0.8974601	0.8974601	0.04301262	0.9569874	1e-06	0.0430126	1e-06	1e-06	0.956987	1e-06	0.0430126	0.956987
300	-2025.875	-2024.937	-0.9377941	0.9377941	0.04577988	0.9542201	1e-06	0.0457799	1e-06	1e-06	0.95422	1e-06	0.0457799	0.95422
350	-1776.708	-1775.828	-0.879489	0.879489	0.03586351	0.9641365	1e-06	0.0358635	1e-06	1e-06	0.964136	1e-06	0.0358635	0.964136
400	-1889.246	-1888.332	-0.9133962	0.9133962	0.0360238	0.9639762	1e-06	0.0360238	1e-06	1e-06	0.963976	1e-06	0.0360238	0.963976
450	-1796.916	-1796.065	-0.8511532	0.8511532	0.03633634	0.9636637	1e-06	0.0363363	1e-06	1e-06	0.963664	1e-06	0.0363363	0.963664
500	-1892.605	-1891.795	-0.8097016	0.8097016	0.04433192	0.9556681	1e-06	0.0443319	1e-06	1e-06	0.955668	1e-06	0.0443319	0.955668
550	-2054.335	-2053.452	-0.8826516	0.8826516	0.05148575	0.9485143	1e-06	0.0514857	1e-06	1e-06	0.948514	1e-06	0.0514857	0.948514
600	-1682.391	-1681.599	-0.7920189	0.7920189	0.03419821	0.9658018	1e-06	0.0341982	1e-06	1e-06	0.965802	1e-06	0.0341982	0.965802
650	-1755.005	-1754.213	-0.7914296	0.7914296	0.04453802	0.955462	1e-06	0.044538	1e-06	1e-06	0.955462	1e-06	0.044538	0.955462
700	-1797.244	-1796.387	-0.856871	0.856871	0.03890553	0.9610945	1e-06	0.0389055	1e-06	1e-06	0.961094	1e-06	0.0389055	0.961094
750	-1839.846	-1839.06	-0.7853632	0.7853632	0.04830556	0.9516944	1e-06	0.0483056	1e-06	1e-06	0.951694	1e-06	0.0483056	0.951694
800	-1716.255	-1715.476	-0.7788715	0.7788715	0.03774751	0.9622525	1e-06	0.0377475	1e-06	1e-06	0.962252	1e-06	0.0377475	0.962252
850	-1672.205	-1671.4	-0.8055632	0.8055632	0.04176062	0.9582394	1e-06	0.0417606	1e-06	1e-06	0.958239	1e-06	0.0417606	0.958239
900	-1669.389	-1668.566	-0.8234348	0.8234348	0.03191215	0.9680879	1e-06	0.0319121	1e-06	1e-06	0.968088	1e-06	0.0319121	0.968088
950	-1732.595	-1731.774	-0.8214084	0.8214084	0.03678646	0.9632135	1e-06	0.0367865	1e-06	1e-06	0.963214	1e-06	0.0367865	0.963214
1000	-1710.939	-1710.237	-0.7024539	0.7024539	0.04097053	0.9590295	1e-06	0.0409705	1e-06	1e-06	0.959029	1e-06	0.0409705	0.959029
1050	-1581.431	-1580.709	-0.7220798	0.7220798	0.03505245	0.9649476	1e-06	0.0350524	1e-06	1e-06	0.964948	1e-06	0.0350524	0.964948
1100	-1601.512	-1600.73	-0.7824401	0.7824401	0.03598702	0.964013	1e-06	0.035987	1e-06	1e-06	0.964013	1e-06	0.035987	0.964013
1150	-1634.586	-1633.845	-0.7416057	0.7416057	0.04429034	0.9557097	1e-06	0.0442903	1e-06	1e-06	0.95571	1e-06	0.0442903	0.95571
1200	-1600.237	-1599.534	-0.7028115	0.7028115	0.05334585	0.9466542	1e-06	0.0533458	1e-06	1e-06	0.946654	1e-06	0.0533458	0.946654
1250	-1602.738	-1602.052	-0.6859454	0.6859454	0.05052973	0.9494703	1e-06	0.0505297	1e-06	1e-06	0.94947	1e-06	0.0505297	0.94947
1300	-1452.642	-1452.004	-0.6387443	0.6387443	0.04293933	0.9570607	1e-06	0.0429393	1e-06	1e-06	0.957061	1e-06	0.0429393	0.957061
1350	-1392.644	-1391.97	-0.6739202	0.6739202	0.04046828	0.9595317	1e-06	0.0404683	1e-06	1e-06	0.959532	1e-06	0.0404683	0.959532
1400	-1388.123	-1387.47	-0.653216	0.653216	0.03955607	0.9604439	1e-06	0.0395561	1e-06	1e-06	0.960444	1e-06	0.0395561	0.960444
1450	-1383.754	-1383.122	-0.6315207	0.6315207	0.04646131	0.9535387	1e-06	0.0464613	1e-06	1e-06	0.953539	1e-06	0.0464613	0.953539
