Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-5772.294	-5770.338	-1.955709	1.955709	0.4139374	0.5860626	1e-06	0.413937	1e-06	1e-06	0.586063	1e-06	0.413937	0.586063
50	-4575.801	-4573.318	-2.48336	2.48336	0.161676	0.838324	1e-06	0.161676	1e-06	1e-06	0.838324	1e-06	0.161676	0.838324
100	-4427.306	-4424.802	-2.503837	2.503837	0.1536455	0.8463545	1e-06	0.153645	1e-06	1e-06	0.846355	1e-06	0.153645	0.846355
150	-4334.537	-4331.974	-2.563291	2.563291	0.1553265	0.8446735	1e-06	0.155326	1e-06	1e-06	0.844674	1e-06	0.155326	0.844674
200	-4239.187	-4236.727	-2.45942	2.45942	0.1444254	0.8555746	1e-06	0.144425	1e-06	1e-06	0.855575	1e-06	0.144425	0.855575
250	-4217.995	-4215.501	-2.494175	2.494175	0.1401761	0.8598239	1e-06	0.140176	1e-06	1e-06	0.859824	1e-06	0.140176	0.859824
300	-4167.032	-4164.496	-2.535763	2.535763	0.1357925	0.8642075	1e-06	0.135792	1e-06	1e-06	0.864208	1e-06	0.135792	0.864208
350	-4118.212	-4115.647	-2.564778	2.564778	0.133262	0.866738	1e-06	0.133262	1e-06	1e-06	0.866738	1e-06	0.133262	0.866738
400	-4099.37	-4096.809	-2.561426	2.561426	0.136462	0.863538	1e-06	0.136462	1e-06	1e-06	0.863538	1e-06	0.136462	0.863538
450	-4097.458	-4094.832	-2.626254	2.626254	0.1232939	0.8767061	1e-06	0.123294	1e-06	1e-06	0.876706	1e-06	0.123294	0.876706
500	-4108.153	-4105.583	-2.569528	2.569528	0.1349403	0.8650597	1e-06	0.13494	1e-06	1e-06	0.86506	1e-06	0.13494	0.86506
550	-4037.312	-4034.759	-2.55321	2.55321	0.1234511	0.8765489	1e-06	0.123451	1e-06	1e-06	0.876549	1e-06	0.123451	0.876549
600	-4076.697	-4074.158	-2.539862	2.539862	0.1304716	0.8695284	1e-06	0.130472	1e-06	1e-06	0.869528	1e-06	0.130472	0.869528
650	-4038.31	-4035.815	-2.495993	2.495993	0.1324199	0.8675801	1e-06	0.13242	1e-06	1e-06	0.86758	1e-06	0.13242	0.86758
700	-4002.675	-4000.279	-2.395879	2.395879	0.1222019	0.8777981	1e-06	0.122202	1e-06	1e-06	0.877798	1e-06	0.122202	0.877798
750	-3991.331	-3988.993	-2.338018	2.338018	0.1309679	0.8690321	1e-06	0.130968	1e-06	1e-06	0.869032	1e-06	0.130968	0.869032
800	-4079.222	-4076.814	-2.407768	2.407768	0.1251397	0.8748603	1e-06	0.12514	1e-06	1e-06	0.87486	1e-06	0.12514	0.87486
850	-4001.248	-3998.805	-2.442612	2.442612	0.1199798	0.8800202	1e-06	0.11998	1e-06	1e-06	0.88002	1e-06	0.11998	0.88002
